file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,0,28,주인공,(お、今日はロックバンドのライブ<6E5C>をやってるみたいだ),,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,1,14,UNKNOWN_1c,キャー!サイコー!ヤフー!,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,2,36,주인공,(むむ、ひときわ騒いでる客が<6E5C>いるな.外国の女の人みたい<6E5C>だけど……),,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,3,14,UNKNOWN_1c,ヒューヒュー!しびれる~★,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,4,25,주인공,(……なんか、どっかで見たことあ<6E5C>るような……),,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,5,29,UNKNOWN_1c,アラン?ソコにいるのは<이름:3232>!<6E5C>いっしょにたのしもーよん!,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,6,12,주인공,ジェ、ジェニー先生!?,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,7,26,Jenny,ホラホラ、もっと前に来て!<6E5C>ダイブするわよダイブ!,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,8,8,주인공,いや、俺は……,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,9,12,Jenny,イエ~!サイッコーー!,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,10,5,주인공,…………,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,11,19,주인공,(や、やっとライブが終わっ<6E5C>た……),,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,12,18,Jenny,たのしかったわん!<6E5C>イイ汗かいた~,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,13,5,주인공,…………,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,14,8,Jenny,どうしたのん?,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,15,56,주인공,すごい騒ぎ様だったので、<6E5C>ちょっと驚いて……<485C>学校でも十分アレですけど、<6E5C>外ではもっとアレですね.<6E5C>激しい……,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,16,34,Jenny,これがホントのアタシの姿よんっ!<6E5C>ガッコウでは遠慮してるんだから~,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,17,10,주인공,(アレでかよ……),,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,18,29,Jenny,でも、<이름:3232>に会うなんて意外だった<6E5C>わ.音楽、好きなのん?,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,19,14,[선택지],好きです格闘技の方が好きです,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,20,9,주인공,ええ、好きですよ,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,21,30,Jenny,アタシもダイスキ!<6E5C>ナカマが身近にいて、<6E5C>うれしいわーん★,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,22,27,주인공,(ほんとうに、イキイキしてるな、<6E5C>ジェニー先生……),,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,23,13,주인공,格闘技の方が好きですけど,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,24,30,Jenny,そうなのーん.じゃ、ちゃんと<6E5C>ブカツに出ないとダメよーん★,,
dom1Jenny_L01.mes,Script/dom1Jenny_L01.mes,25,9,주인공,ハハ、そうですね,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,0,12,[효과음/내레이션],♪カランコロンカラ~ン,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,1,11,King,いらっしゃい、<이름:3131>君,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,2,30,주인공,こんにちは.……あれ?<6E5C>今日はいつもと雰囲気が<6E5C>違いますね,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,3,35,King,今日は七夕だからな.<6E5C>知り合いのバンドを呼んで<6E5C>ライブをしているんだ,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,4,13,주인공,へぇ.七夕イベントですか,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,5,5,UNKNOWN_1c,<이름:3232>~★,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,6,16,주인공,うっ.ジェニー先生がなぜここに,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,7,30,Jenny,ライブがあるっていったら行くっ<6E5C>きゃないっショ!た~のし~,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,8,10,주인공,……酔っ払ってる?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,9,42,King,ブリティッシュビールばかり注文<6E5C>されてな…….<이름:3131>君のクラスの<6E5C>教育実習生だって?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,10,3,주인공,えぇ,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,11,24,King,じゃあ、しっかり面倒みてくれよ.<6E5C>男なんだから,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,12,6,주인공,そんな……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,13,10,Jenny,<이름:3232>ものもうよ~ん,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,14,17,주인공,未成年に酒勧めてどうするんですか,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,15,14,Jenny,ンじゃ、ライブみようよ~ん,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,16,5,주인공,はいはい,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,17,1,[효과음/내레이션],♪,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,18,1,[효과음/내레이션],♪,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,19,2,[효과음/내레이션],♪,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,20,11,Jenny,イヤ~ン★サイコ~★,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,21,20,주인공,(さっきから飲んで騒ぎまくり<6E5C>だ……),,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,22,13,Jenny,もう……ガマンできな~い,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,23,3,주인공,!?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,24,10,Jenny,アタシも、うたう~,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,25,26,주인공,ちょ、ちょっと、なに勝手にマイク<6E5C>持ってるんですか,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,26,12,Jenny,イイの!<020A>うたうのん!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,27,10,주인공,んなワガママな……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,28,9,Jenny,いくわよーん!?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,29,1,[효과음/내레이션],♪,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,30,1,[효과음/내레이션],♪,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,31,2,[효과음/내레이션],♪,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,32,5,주인공,…………,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,33,22,Jenny,ヤフー!<이름:3232>、アタシの歌は<6E5C>どうだった~?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,34,24,[선택지],何言ってるのかわからなかったですスゴイですね……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,35,22,주인공,いや、何言ってるのかわからなかっ<6E5C>たですよ,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,36,17,Jenny,モオ!<6E5C>悲しいラブソングなのに!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,37,19,주인공,(でも、英語で歌われても<6E5C>なぁ……),,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,38,21,주인공,スゴイですね…….うまいじゃない<6E5C>ですか,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,39,11,Jenny,ホント!?サンキュ~,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,40,8,주인공,見直しましたよ,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,41,17,Jenny,見直したって、どーゆーイミよん!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,42,16,주인공,(しまった、口がすべって……),,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,43,12,[효과음/내레이션],♪カランコロンカラ~ン,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,44,8,Jenny,ヘロー、<이름:3232>!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,45,21,주인공,うっ、ジェニー先生…….<6E5C>酔っ払ってる?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,46,11,Jenny,<이름:3232>も飲もうよーん!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,47,28,주인공,何やってるんですか、レオナひとり<6E5C>に短冊をかざらせて!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,48,22,Jenny,エッ…….レオナ、まだガッコウに<6E5C>いるの?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,49,16,주인공,いや、それはわからないですけど,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,50,47,Jenny,なんでレオナひとりにしてくるの!<6E5C>クラスメイトとしてサイテーよ!<6E5C><이름:3232>、ガッコウに戻るわよ!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,51,13,주인공,いや、俺に怒られても……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,52,5,Leona,<이름:3131>……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,53,16,주인공,レオナ!よかった、まだいたんだ,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,54,37,Jenny,レオナ、短冊かざってくれて<6E5C>アリガト~.<6E5C>コレはアタシからのお礼よーん!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,55,9,Leona,ワタシは別に……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,56,23,Jenny,コドモが遠慮しないの!<6E5C>ホラ、飲んで飲んで★,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,57,54,주인공,ちょっと!未成年に何ビール飲ま<6E5C>せようとしてるんですか!<485C>それ、イリュージョンから持って<6E5C>きたんですね!?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,58,32,Jenny,モゥ、<이름:3232>はかたいわね~.<6E5C>ホラ、ちゃんとノンアルコール<6E5C>よ~,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,59,5,Leona,…………,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,60,25,Jenny,じゃ、ジュースにする?レオナは<6E5C>何が好きなのん?,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,61,10,Leona,なんでもいいわ……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,62,37,Jenny,ヨーシ、今夜は親睦会よ!<6E5C>とことん飲んでフレンドリーに<6E5C>なりましょ~ん!,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,63,8,주인공,んな勝手に……,,
dom1Jenny_L02.mes,Script/dom1Jenny_L02.mes,64,5,[효과음/내레이션],…………,,
dom1Jenny_L02_2.mes,Script/dom1Jenny_L02_2.mes,0,52,주인공,……レオナ、ひとりでいるところ<6E5C>ムリヤリ押しかけちゃったけど、<6E5C>迷惑だったか?<485C>こういうの苦手だよな?,,
dom1Jenny_L02_2.mes,Script/dom1Jenny_L02_2.mes,1,13,Leona,……そんなこと……ないわ,,
