file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,0,15,주인공,な、なんか……熱っぽいな……,크윽…… 열 있나 본데……,크윽…… 열 있나 본데……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,1,4,[효과음/내레이션],バタッ,쿵!,쿵!
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,2,19,주인공,(まずい…….<6E5C>起き上がれない……),(안 좋아……<6E5C>못 일어나겠어……),(안 좋아……<6E5C>못 일어나겠어……)
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,3,6,주인공,……キュウ,……끙,……끙
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,4,27,주인공,(こ……これはやばい……<6E5C>人を呼ぶ気力もないし……),(이거 위험한데……<6E5C>사람 부를 힘도 없고……),(이거 위험한데……<6E5C>사람 부를 힘도 없고……)
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,5,12,주인공,(誰か……助けて……),(누구든 도와줘……),(누구든 도와줘……)
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,6,4,주인공,う……,윽……,윽……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,7,16,주인공,……氷枕?誰か来てくれたのか?,……얼음베개? 누가 왔었나?,……얼음베개? 누가 왔었나?
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,8,29,주인공,熱もすっかり引いている.<6E5C>誰が看病してくれたんだろう……,열도 완전히 내렸네.<6E5C>누가 간호해 준 걸까……,열도 완전히 내렸네.<6E5C>누가 간호해 준 걸까……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,9,10,UNKNOWN_1e,ようやくお目覚めか,이제야 일어났나,이제야 일어났나
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,10,14,주인공,え?ま、まさかこの声は……,어? 설마 이 목소린……,어? 설마 이 목소린……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,11,41,Kaidou,なんてザマだ、まったく.<6E5C>オレ様が様子をみにきてなかったら<6E5C>どうなっていたことか,꼴이 그게 뭐냐.<6E5C>이 몸이 안 왔으면<6E5C>어떻게 됐을지 몰라,꼴이 그게 뭐냐.<6E5C>이 몸이 안 왔으면<6E5C>어떻게 됐을지 몰라
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,12,23,주인공,海堂.お前が俺の看病を……?<6E5C>信じられん……,카이도. 간호해줬다고?<6E5C>믿기지 않는군……,카이도. 간호해줬다고?<6E5C>믿기지 않는군……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,13,66,Kaidou,あ?人をバカにしてんのか?<6E5C>テメーのことは<6E5C>いけ好かねぇけどよ、<485C>目の前に死にそうな奴が<6E5C>いたら助けるのが人の道って<6E5C>もんだろうが,"뭐? 사람을 바보로 아냐?<6E5C>너 같은 놈<6E5C>영 마음에 안 들지만,<485C>눈앞에 죽어가는 놈이<6E5C>있으면 돕는 게 사람<6E5C>도리 아니냐","뭐? 사람을 바보로 아냐?<6E5C>너 같은 놈<6E5C>영 마음에 안 들지만,<485C>눈앞에 죽어가는 놈이<6E5C>있으면 돕는 게 사람<6E5C>도리 아니냐"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,14,35,주인공,海堂に人の道をさとされた!<6E5C>信じられないことばかりだな、<6E5C>今日は……,"카이도한테 도리를 배우다니!<6E5C>믿기지 않는 일뿐이네,<6E5C>오늘은……","카이도한테 도리를 배우다니!<6E5C>믿기지 않는 일뿐이네,<6E5C>오늘은……"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,15,42,Kaidou,もう少し感謝してもらいたいぜ.<6E5C>お前のために5日もムダに<6E5C>しちまったんだからなぁ!,좀 더 고마워해도 되는데.<6E5C>너 때문에 5일이나 헛되이<6E5C>날려버렸으니까!,좀 더 고마워해도 되는데.<6E5C>너 때문에 5일이나 헛되이<6E5C>날려버렸으니까!
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,16,9,주인공,……ちょっと待て,……잠깐 기다려,……잠깐 기다려
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,17,4,Kaidou,なんだ,왜,왜
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,18,23,주인공,さっき、5日って言ったよな?<6E5C>今日は何日だ?,"아까, 5일이랬지?<6E5C>오늘이 며칠이야?","아까, 5일이랬지?<6E5C>오늘이 며칠이야?"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,19,25,Kaidou,熱でよくわかってねぇみたいだな.<6E5C>今日は31日だ,열 때문에 정신없나 보네.<6E5C>오늘은 31일이다,열 때문에 정신없나 보네.<6E5C>오늘은 31일이다
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,20,24,주인공,お、俺の貴重な夏休みが5日間も<6E5C>パーに……!?,내 소중한 여름방학 5일이나<6E5C>날아갔다고!?,내 소중한 여름방학 5일이나<6E5C>날아갔다고!?
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,21,15,Kaidou,<이름:3131>…….ま、まあ元気だせよ,<이름:3131>…… 어이 기운 내라,<이름:3131>…… 어이 기운 내라
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,22,31,주인공,優しいんだな、海堂.<6E5C>俺、今までお前のことを<6E5C>誤解していたよ,"다정하네, 카이도.<6E5C>나 지금까지 너를<6E5C>오해했나 봐","다정하네, 카이도.<6E5C>나 지금까지 너를<6E5C>오해했나 봐"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,23,12,Kaidou,おいおい.やめろよ……,야야. 그만해라……,야야. 그만해라……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,24,55,주인공,俺はこの夏、女の子を追いかけ<6E5C>まわしてばかりだった<485C>いつの間にか……大切な何かを<6E5C>見失っていたのかもしれない,"난 이번 여름, 여자애들만<6E5C>쫓아다니고 있었어<485C>어느샌가…… 소중한 뭔가를<6E5C>놓치고 있었는지도 몰라","난 이번 여름, 여자애들만<6E5C>쫓아다니고 있었어<485C>어느샌가…… 소중한 뭔가를<6E5C>놓치고 있었는지도 몰라"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,25,3,Kaidou,……,……,……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,26,54,주인공,海堂.俺、8月いっぱい使って<6E5C>修行の旅に出るよ<485C>心身ともに鍛えなおして、自分の<6E5C>ことを見つめなおしたいんだ,"카이도. 나, 8월 내내<6E5C>수행 여행을 떠날게<485C>몸과 마음을 다시 단련해서<6E5C>나 자신을 돌아보고 싶어","카이도. 나, 8월 내내<6E5C>수행 여행을 떠날게<485C>몸과 마음을 다시 단련해서<6E5C>나 자신을 돌아보고 싶어"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,27,27,Kaidou,お、おい.無茶すんな.<6E5C>お前、まだ病み上がりなんだぞ,"이봐, 무리하지 마.<6E5C>너 아직 병 안 나았잖아","이봐, 무리하지 마.<6E5C>너 아직 병 안 나았잖아"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,28,26,주인공,はは.心配するな、もう全快バリバ<6E5C>リだ.ほーらっ!,"하하. 걱정 마, 이제 다 나았<6E5C>다고. 자!","하하. 걱정 마, 이제 다 나았<6E5C>다고. 자!"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,29,5,Kaidou,おいっ!,이봐!,이봐!
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,30,14,Kaidou,待ちやがれ<이름:3131>!ハア、ハア,게 섰거라 <이름:3131>! 헉헉,게 섰거라 <이름:3131>! 헉헉
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,31,21,주인공,どうした海堂ー!<6E5C>俺を捕まえてみろよー!,어딜 도망가냐 카이도!<6E5C>잡아 보라고!,어딜 도망가냐 카이도!<6E5C>잡아 보라고!
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,32,9,Kaidou,て、てめえーっ!,"이, 이 자식!","이, 이 자식!"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,33,9,주인공,ハア……ハア……,헉…… 헉……,헉…… 헉……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,34,16,Kaidou,ハア……ハア……待ちやがれー!,헉…… 헉…… 게 섰거라!!,헉…… 헉…… 게 섰거라!!
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,35,16,주인공,はは.なんだか楽しいな、海堂!,"하하. 즐거운데, 카이도!","하하. 즐거운데, 카이도!"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,36,22,Kaidou,ふ、ふざけやがって……!<6E5C>ハア……ハア……,까불기는……!<6E5C>헉…… 헉……,까불기는……!<6E5C>헉…… 헉……
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,37,34,주인공,見ろ、夕日が海に沈んでゆく.<6E5C>あの水平線の向こうまで、<6E5C>競走だっ!,"봐라, 석양이 바다로 진다.<6E5C>저 수평선 너머까지,<6E5C>시합이다!","봐라, 석양이 바다로 진다.<6E5C>저 수평선 너머까지,<6E5C>시합이다!"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,38,13,Kaidou,の……望むところだーっ!,"바, 바라던 바다아!!","바, 바라던 바다아!!"
dom1Kaido_O0727_0.mes,Script/dom1Kaido_O0727_0.mes,39,10,주인공,フフ……フフフ……,후후…… 후후……,후후…… 후후……
