file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,0,25,주인공,(香澄に見つからないように横切ら<6E5C>ないとな……),(카스미한테 안 들키게 지나가야<6E5C>겠는데……),(카스미한테 안 들키게 지나가야<6E5C>겠는데……)
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,1,9,주인공,うわ、なんだ!?,"우와, 뭐야!?","우와, 뭐야!?"
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,2,32,주인공,なんだよ、七夕の短冊が飛んできた<6E5C>だけか.びっくりさせんなよな,"뭐야, 칠석 소원 쪽지가 날아온<6E5C>것뿐이잖아. 놀라지 마","뭐야, 칠석 소원 쪽지가 날아온<6E5C>것뿐이잖아. 놀라지 마"
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,3,13,주인공,(お、なんか書いてある),"(오, 뭔가 써 있네)","(오, 뭔가 써 있네)"
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,4,6,[선택지],読む読まない,읽기안읽기,읽기\안읽기
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,5,47,주인공,え~っと……打倒極限流、父さまが<6E5C>見つかりますように、先輩がちゃん<6E5C>と部活に来ますように……,"타도 극한류, 아버지를<6E5C>찾을 수 있기를, 선배가 제대로<6E5C>동아리에 나오기를……","타도 극한류, 아버지를<6E5C>찾을 수 있기를, 선배가 제대로<6E5C>동아리에 나오기를……"
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,6,4,Kasumi,先輩!,선배!,선배!
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,7,7,주인공,この声は……,이 소리……,이 소리……
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,8,15,주인공,しまった~見つかっちまったか,아차~ 결국 들켜버렸나,아차~ 결국 들켜버렸나
dom1Kasumi_L01.mes,Script/dom1Kasumi_L01.mes,9,6,Kasumi,先輩、それ,"선배,그거","선배,그거"
