file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,0,25,주인공,(今日は思いきり遊ぶとするか.<6E5C>ん?あれは……),,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,1,16,Kula,こんなのいらない!きえちゃえ!,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,2,31,주인공,(……クーラだ.またひとりで<6E5C>ゲームに熱中してるみたいだな),,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,3,5,Kula,ア、<이름:3232>,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,4,16,주인공,あ、あぁ.楽しそうに遊んでるな,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,5,6,Kula,つまんない,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,6,3,주인공,は?,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,7,21,Kula,つまんないから対戦相手になって<6E5C>よ、<이름:3232>,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,8,21,주인공,いきなりかよ……ってまぁいいや.<6E5C>どれ?,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,9,5,Kula,コレコレ,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,10,14,주인공,格闘ゲームか.よし、やるか,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,11,8,Kula,負けないもん!,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,12,10,[효과음/내레이션],バキ<020A>ドカ<020A>ドーン,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,13,36,주인공,(う、けっこう強いな、クーラ.<6E5C>どうしよう……本気出しちゃおう<6E5C>かな),,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,14,8,[선택지],本気で勝つ負ける,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,15,6,[효과음/내레이션],K.O.!,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,16,5,Kula,…………,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,17,33,주인공,(……女の子相手に本気出す<6E5C>なんて、おとなげなかった<6E5C>かな……),,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,18,13,Kula,じゃ、次はホンキだすね!,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,19,17,주인공,(………この子も負けず嫌いだな),,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,20,26,[선택지],訣<0000><0000><0001><0029><00F4><0000><0000><0000><0000><0007><0013><0001><0000><0000><0001><0000><0018><000C><FFFF>K.O.!,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,21,13,주인공,いや~、クーラは強いなぁ,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,22,25,Kula,………….ちゃんとホンキ出さない<6E5C>と怒るよ、<이름:3232>,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,23,28,주인공,(な、なんでわざと負けたってわか<6E5C>るんだ?この子……),,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,24,40,[선택지],パ<0000><0000><0001><0000><004C><0040><001A>おーいクーラ、欲しがってたぬいぐ<6E5C>るみ、やっとゲットできたぞ!,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,25,10,주인공,うっ、この声は……,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,26,21,Kaidou,……って、なんで<이름:3131>がいんだ!<6E5C>消えろ!,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,27,26,주인공,海堂もいたのか…….はいはい、<6E5C>消えればいいんだろ,,
dom1Kula_L01.mes,Script/dom1Kula_L01.mes,28,11,Kula,またやろうね、<이름:3232>!,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,0,41,주인공,(さて、どこに行こうかな…….<6E5C>ん?あんなところに、でっかい<6E5C>笹の葉が飾ってある,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,1,34,[효과음/내레이션],飾りがつけられてキレイだな.……<6E5C>と、その前に立っているのは……),,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,2,15,주인공,クーラ?なんでこんなところに,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,3,27,Kula,ア、<이름:3232>.こんなところって、<6E5C>ココはクーラの学校だよ,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,4,29,주인공,あれ?適当に歩いてたら、雷門<6E5C>学園の前に来ちゃってたのか,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,5,15,Kula,<이름:3232>もお願いゴトしに来たの?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,6,29,주인공,え?……あぁ、この大きな笹の<6E5C>葉、雷門学園のか.すげーな,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,7,24,Kula,……こんなコトで、願いゴトって叶<6E5C>うのかな……,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,8,3,주인공,え?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,9,26,Kula,叶うんだったらクーラも書く<6E5C>よ…….ねぇ、叶うの?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,10,11,주인공,うーん……そうだなぁ,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,11,12,[선택지],信じれば叶うよ気休めだよ,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,12,8,주인공,信じれば叶うよ,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,13,5,Kula,ホント?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,14,35,주인공,ああ、だからクーラも書きなよ.<6E5C>手に持ってるの、クーラの短冊<6E5C>だろ?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,15,9,Kula,うん……わかった,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,16,11,주인공,まぁ、気休めだけどな,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,17,6,Kula,そっか……,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,18,35,주인공,でも、どうせなら書いたら?その<6E5C>手に持ってるの、クーラの短冊<6E5C>だろ?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,19,5,Kula,うん……,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,20,5,[효과음/내레이션],…………,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,21,16,Kula,書いたよ!これでいいんだよね?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,22,3,주인공,あぁ,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,23,21,Kula,じゃあ、教室に戻るね!<6E5C><이름:3232>、バイバイ!,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,24,48,주인공,どれどれ、クーラは何を書いたん<6E5C>だろう…….ん?「おにいちゃん<6E5C>がかえってきますように」……?,,
dom1Kula_L02.mes,Script/dom1Kula_L02.mes,25,19,[효과음/내레이션],クーラのお兄ちゃんっていったい…<6E5C>…,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,0,54,Kula,○<0001><0011><000D><0000><0000><0000><0000><0006><000A><000A><0000><0000><0001><002A><0000><0000><0000><0000><0000><000E><0000><FFFF><0000><0000><0000><0000><003C><0030><0002>(さてと、もう遅いし部屋に帰ると<6E5C>するか……),,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,1,4,UNKNOWN_1a,<이름:3131>~,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,2,9,주인공,こ、この声は……,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,3,17,Kaidou,デケェあくびして、みっともねぇな,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,4,43,주인공,海堂…….おまえに会うと、寝付き<6E5C>が悪くなりそうだな……と、その後<6E5C>ろにいるのは……,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,5,5,주인공,クーラ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,6,29,Kaidou,今、テメェの学校のきもだめしに<6E5C>行ってきたんだぜ、オレ達,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,7,16,주인공,おまえ、クーラと行ったのかよ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,8,5,Kaidou,なんだよ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,9,5,주인공,いや……,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,10,13,Kaidou,楽しかったよなー?クーラ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,11,6,Kula,フツーだよ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,12,13,주인공,(なんかムカつくな……),,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,13,24,[선택지],今度は俺と行こうぜそんなヤツといても面白くないぞ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,14,15,[선택지],<0134><0001><0000><0020><0012><0002>……なぁ、クーラ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,15,4,Kula,なに?,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,16,10,주인공,今度は俺と行こうぜ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,17,15,Kaidou,あぁ!?オマエ何言ってンだ?,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,18,12,주인공,おまえには関係ないだろ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,19,24,Kaidou,それはオマエだよ!<6E5C>オレ達の間に入ってくんな!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,20,12,주인공,そんなの俺の自由だろ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,21,30,UNKNOWN_29,Z<0000><0000><0000><0000><0000><0038><002A><0002>クーラ、そんなヤツといても面白く<6E5C>ないぞ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,22,8,Kaidou,ンだとテメェ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,23,21,주인공,付き合うなら、もっと人を選んだ方<6E5C>がいい,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,24,16,Kaidou,勝手なこと言ってンじゃねーよ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,25,15,주인공,おまえといると教育に悪いだろ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,26,9,Kaidou,どーゆー意味だ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,27,9,주인공,そのままだけど?,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,28,40,Kaidou,ふざけんなよテメェ.なんだったら<6E5C>ココで武道天覧会の決着、付けても<6E5C>いーんだぜ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,29,24,주인공,クーラの前だからって、強がってん<6E5C>なよ、おまえ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,30,10,Kula,モー、ウルサーイ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,31,7,주인공,ク……クーラ,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,32,16,Kula,うるさい人キライ!クーラ帰る!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,33,15,Kaidou,あ、ちょっと、待てよクーラ!,,
dom1Kula_L03.mes,Script/dom1Kula_L03.mes,34,28,주인공,(……しまった.ちょっとおとなげ<6E5C>なかったな、俺……),,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,0,7,Kula,ア、<이름:3232>……,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,1,16,주인공,クーラ.どうした?ボーっとして,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,2,8,Kula,なんでもないよ,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,3,25,주인공,じゃあ、なんでじっとしてんだ?<6E5C>ゲームもしないで,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,4,11,Kula,……なんでもないって,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,5,41,주인공,……ひょっとして、誰か待ってるん<6E5C>じゃないのか?この前言ってた<6E5C>お兄ちゃんを……,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,6,5,Kula,…………,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,7,6,주인공,……ごめん,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,8,7,Kula,コレ取って!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,9,3,주인공,え?,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,10,9,Kula,このぬいぐるみ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,11,12,주인공,あぁ、クレーンゲームか,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,12,13,[선택지],取ってあげる話の続きをする,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,13,25,[선택지],<0104><0001><0007><0013><0003><0000><0000><0001><0000><0028><001A><0002>……よーし、やってみるか,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,14,5,Kula,ヤッタ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,15,10,주인공,次はどれが欲しい?,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,16,9,Kula,あのキャンディ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,17,4,주인공,よーし,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,18,5,Kula,ヤッタ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,19,14,주인공,(……まぁ、しかたないか),,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,20,34,주인공,……それより、いつもここらへんう<6E5C>ろついて、親は心配してないのか?,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,21,5,Kula,…………,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,22,29,주인공,海堂なんかにくっついてないで、<6E5C>もっとクラスの友達と……,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,23,23,Kula,ウルサイな!それじゃママみたい<6E5C>だよ、<이름:3232>!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,24,7,주인공,マ、ママ!?,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,25,4,[효과음/내레이션],ドン!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,26,7,Kula,イッターイ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,27,4,주인공,あ……,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,28,6,주인공,レオナ……,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,29,9,Kula,イタイよ、モォ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,30,9,Leona,……ごめんなさい,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,31,12,Kula,ん?<이름:3232>とおなじ学校?,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,32,13,주인공,あぁ、しかも同じクラスだ,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,33,15,Kula,じゃーキャンディちょーだい!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,34,3,Leona,!?,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,35,12,주인공,なんでそーなるんだよ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,36,23,Kula,ねぇねぇ、ゲーム強い?対戦相手<6E5C>になってよ!,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,37,10,Leona,ちょ、ちょっと……,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,38,45,주인공,(あ、ふたりでゲームはじめちゃっ<6E5C>た.あのレオナを巻き込むなんて、<6E5C>おそるべしクーラ……,,
dom1Kula_L04.mes,Script/dom1Kula_L04.mes,39,28,[효과음/내레이션],ひょっとしてあいつ、ひとりでさみ<6E5C>しかったのかな……),,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,0,5,주인공,げ、海堂,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,1,23,Kaidou,あぁ?いきなり現れて失礼なヤツ<6E5C>だなテメェは,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,2,13,주인공,じゃあ、帰るとするか……,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,3,5,UNKNOWN_1c,ア、<이름:3232>,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,4,10,주인공,クーラもいたのか!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,5,24,Kaidou,なんだよ、とたんに笑顔になり<6E5C>やがって、コイツ,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,6,26,주인공,(そりゃおまえと会話してるよりは<6E5C>笑顔になるだろ),,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,7,14,Kula,<이름:3232>の学校も今日が終業式?,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,8,27,주인공,あぁ.終業式だからクーラ、<6E5C>うれしそうにしてるのか?,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,9,22,Kula,そーだよ!学校なんか、<6E5C>ダイキライだもん!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,10,13,주인공,(どーしたもんだか……),,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,11,25,Kula,じゃー、これから3人でどっか<6E5C>あそびにイコーよ!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,12,8,Kaidou,げぇ、3人で?,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,13,22,주인공,まぁ、クーラが喜ぶならそれでいい<6E5C>けど……,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,14,13,Kula,決まり!ネェ、ドコいく?,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,15,17,[선택지],カラオケに行こう甘いもの食べようか,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,16,26,[선택지],<0100><0001><0007><0013><0001><0000><0000><0001><0000><0028><001C><0002>じゃあ、カラオケに行こうか,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,17,23,Kula,エ~.ヒトが多いトコキラーイ!<6E5C>つまんない!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,18,17,Kaidou,ハッ.しょうもねぇヤツだなテメェ,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,19,24,주인공,(えぇ~?じゃあどこなら気に入<6E5C>るんだよぉ~),,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,20,17,주인공,じゃ、何か甘いものでも食べようか,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,21,26,Kula,食べる食べる!甘いものダイスキ!<6E5C><이름:3232>のおごりね!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,22,9,주인공,え?あ、うん……,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,23,10,Kaidou,恩にきるぜ、<이름:3131>!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,24,25,주인공,なんでおまえのまでおごらないとい<6E5C>けないんだよ!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,25,6,[효과음/내레이션],♪。♪。♪,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,26,8,주인공,ん?ケータイ?,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,27,17,Kula,あ、クーラのだ.ちょっと待ってね,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,28,3,[효과음/내레이션],ピッ,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,29,24,[효과음/내레이션],コラ、クーラ!いったいどこで<6E5C>遊んでるのッ!!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,30,7,Kaidou,な、なんだ?,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,31,8,주인공,すげーデカイ声,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,32,4,Kula,ママ!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,33,32,UNKNOWN_24,またいつものゲームセンターね?<6E5C>迎えに行くから、待ってなさい!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,34,9,[효과음/내레이션],プッ<020A>ツー<020A>ツー,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,35,11,주인공,ママが迎えにって……,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,36,21,Kula,……逃げなきゃ!狂也、<이름:3232>、<6E5C>バイバイ!,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,37,7,주인공,え、ちょっと,,
dom1Kula_L05.mes,Script/dom1Kula_L05.mes,38,5,Kaidou,待てよ!,,
