file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,0,4,Jenny,<이름:3232>!,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,1,9,주인공,げ、ジェニー先生,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,2,24,Jenny,ちょうどよかったわー!<6E5C>これ、あとお願いねん!,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,3,17,주인공,おい、なんだよこの大量の短冊は!,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,4,11,UNKNOWN_13,……笹に、つけるのよ,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,5,11,주인공,レ、レオナ、いたのか,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,6,3,Leona,……,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,7,40,주인공,で、なんだって?これ全部、<6E5C>笹の葉につけろってのかよ.<6E5C>クラス全員分じゃねえか,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,8,4,Leona,そうね,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,9,36,주인공,そうね……って、<6E5C>あの先生もむちゃくちゃだな.<6E5C>転校生にやらせるなよな,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,10,3,Leona,……,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,11,22,주인공,チェッ、わかったよ.<6E5C>やればいいんだろー?,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,12,3,Leona,……,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,13,23,주인공,……なあ、レオナは短冊になんて<6E5C>書いたんだ?,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,14,6,Leona,べつに……,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,15,15,[선택지],さらに追及する自分の願いを話す,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,16,11,주인공,レオナの願いって何?,,
dom1Leona_L01.mes,Script/dom1Leona_L01.mes,17,19,Leona,……人に話すようなことじゃないか<6E5C>ら,,
