file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,0,7,[효과음/내레이션],♪ピンポ~ン,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,1,3,주인공,はい,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,2,4,[효과음/내레이션],ガチャ,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,3,37,Mai,ね、ちょっとお願いがあるん<6E5C>だけど、ショッピングに<6E5C>つき合ってくれない?,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,4,13,주인공,いや、今日はちょっと……,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,5,8,Mai,何?イヤなの?,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,6,42,주인공,い、いや~今日はちょっと、<6E5C>舞さんと買い物にでも行きたいな、<6E5C>と思ってたんですよ!,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,7,5,Mai,よろしい,,
dom1Mai_L01.mes,Script/dom1Mai_L01.mes,8,31,주인공,(結局、俺は舞さんにあちこち連れ<6E5C>回されることになった……),,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,0,42,Mai,あ~楽しかった!すっかり遅くなっ<6E5C>ちゃったね.付き合ってくれた<6E5C>お礼に一杯おごるわ,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,1,16,주인공,一杯って……俺、高校生ですから,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,2,11,Mai,だいじょうぶだって!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,3,7,주인공,は、はぁ……,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,4,24,주인공,(ま、俺に舞さんを止められるわけ<6E5C>ないか……),,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,5,12,[효과음/내레이션],♪カランコロンカラ~ン,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,6,12,Mai,こんばんは、キングさん,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,7,10,King,ああ、いらっしゃい,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,8,8,Yuri,あれ、君は……,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,9,8,주인공,あ、ユリさん!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,10,16,Yuri,偶然だねぇ、君も飲みに来たの?,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,11,9,주인공,いえいえ、まさか,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,12,28,Yuri,なんだ~?<6E5C>男の子のくせに、<6E5C>お酒も飲めないのかぁ!?,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,13,21,Mai,ちょっと、<6E5C>私の連れにからまないでよね!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,14,7,Yuri,ん、誰ッチ?,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,15,12,Mai,な……誰、ですってぇ?,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,16,14,주인공,ま、舞さん、落ち着いて……,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,17,20,Mai,これが落ち着いてられますか!<6E5C>勝負よ!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,18,13,Yuri,よ~し、飲み比べしよう!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,19,8,Mai,望むところよ!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,20,12,주인공,あ、あの、ふたりとも?,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,21,5,Mai,日本一!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,22,7,Yuri,よゆうッチ!,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,23,65,주인공,(あ~ふたりとも<6E5C>意味不明なこと口走ってる<485C>キングさんはなんか楽しそうだし<6E5C>……って、ふたりとも一杯で<6E5C>つぶれてるじゃねえか!),,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,24,49,King,ふたりとも酔いつぶれちゃったな<485C><이름:3131>君、<6E5C>舞のほうはよろしく頼んだよ.<6E5C>家まで送って行ってあげて,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,25,5,주인공,はぁ……,,
dom1Mai_L01_2.mes,Script/dom1Mai_L01_2.mes,26,20,주인공,(まったく、冗談じゃねえよ<6E5C>なぁ……),,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,0,14,주인공,(フゥ……今日も疲れたな),,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,1,6,UNKNOWN_13,キャー!!,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,2,16,주인공,なんだ!?舞さんの部屋からだ!,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,3,12,[선택지],様子を見に行く放っておく,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,4,15,주인공,(様子を見に行かなくちゃ!),,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,5,5,[효과음/내레이션],バタン!,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,6,2,주인공,!,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,7,9,주인공,ま、舞さん……?,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,8,17,Mai,は~助かった.私、クモ苦手なのよ,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,9,20,주인공,ク、クモですか?それであんな悲<6E5C>鳴を?,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,10,9,Mai,な、何よ.悪い?,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,11,12,주인공,いえいえ、ラッキーです,,
dom1Mai_L02.mes,Script/dom1Mai_L02.mes,12,41,Mai,あ、エッチ!どこ見てるのよ!<6E5C>もう、着替えて<이름:3232>君の部屋に<6E5C>行くから、出てって!,,
