file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,0,55,[선택지],ぉ<0001><0011><0000><0000><0000><0000><0000><0006><000A><0008><0000><0000><0001><002A><0000><0000><0000><0000><0000><0000><004C><003E><0002>(そういえば、ユリさんが師範して<6E5C>る道場って、ここだったな),"<0001><0011><0000><0000><0000><0000><0000><0006><000A><0008><0000><0000><0001><002A><0000><0000><0000><0000><0000><0000><004C><003E><0002>(그러고보니, 유리씨가 사범으로 있는 도장이 여기였구나)",ぉ<0001><0011><0000><0000><0000><0000><0000><0006><000A><0008><0000><0000><0001><002A><0000><0000><0000><0000><0000><0000><004C><003E><0002>(그러고보니 유리씨가 사범으로 있는<6E5C>도장이 여기였구나)
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,1,4,[효과음/내레이션],ガラッ,끼익,끼익
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,2,7,주인공,こんにちはー,안녕하세요~,안녕하세요~
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,3,6,[효과음/내레이션],バキンッ★,빠지직★,빠지직★
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,4,6,주인공,ぐわ!!?,으악!!?,으악!!?
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,5,7,UNKNOWN_1c,ごめ~~ん!,미안~~!,미안~~!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,6,11,주인공,え、あ、ユリさん!?,"어, 아 유리씨!?","어, 아 유리씨!?"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,7,14,Yuri,<이름:3232>くん!だいじょうぶ!?,<이름:3232>군! 괜찮아!?,<이름:3232>군! 괜찮아!?
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,8,14,주인공,イテテ……いったい何が……,아야…… 대체 뭐가……,아야…… 대체 뭐가……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,9,34,Yuri,飛んできた瓦割りの瓦に<6E5C>ぶつかったんだよ.<6E5C>すごいタイミングッチ!,날아온 기와에<6E5C>맞았을 뿐이야. 타이밍 좋았치!,날아온 기와에<6E5C>맞았을 뿐이야. 타이밍 좋았치!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,10,36,주인공,そんなタイミングいらない……って<6E5C>ゆーか、どんだけ激しい瓦割り<6E5C>ですか,그런 타이밍 필요 없거든요……<6E5C>대체 얼마나 격한 기와깨기예요,그런 타이밍 필요 없거든요……<6E5C>대체 얼마나 격한 기와깨기예요
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,11,31,Yuri,来てくれたんだね.ありがと~.<6E5C>じゃあ、さっそく稽古しよう!,와줬구나. 고마워~.<6E5C>그럼 바로 수련하자!,와줬구나. 고마워~.<6E5C>그럼 바로 수련하자!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,12,20,주인공,いや、今ケガしたばっかりなんです<6E5C>けど,"아니, 저 방금 막 다친 참인데요","아니, 저 방금 막 다친 참인데요"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,13,16,Yuri,若いんだからだいじょうぶッチ!,젊으니까 괜찮치!,젊으니까 괜찮치!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,14,5,주인공,…………,……,……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,15,16,[선택지],やりましょう!休憩させてください,하죠!쉬게 해주세요,하죠!<6E5C>쉬게 해주세요
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,16,16,주인공,わかりましたよ、やりましょう!,"알겠어요, 하죠!","알겠어요, 하죠!"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,17,14,Yuri,さすが!それでこそ男の子!,역시!그게 진짜 남자지!,역시!그게 진짜 남자지!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,18,16,UNKNOWN_1a,ほぅ.威勢だけはイイじゃねーか,"허, 기세만은 좋잖아","허, 기세만은 좋잖아"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,19,9,주인공,こ、この声は……,이 목소리는……,이 목소리는……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,20,4,주인공,海堂!,카이도,카이도
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,21,29,Kaidou,なんだ?オレ様がいると知ってて<6E5C>戦いに来たんじゃねーのか,뭐냐?오레사마 있는 거 알면서<6E5C>싸우러 온 거 아니냐,뭐냐?오레사마 있는 거 알면서<6E5C>싸우러 온 거 아니냐
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,22,14,Yuri,あれ?ふたりとも、お友達?,"어라?둘 다, 친구야?","어라?둘 다, 친구야?"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,23,6,주인공,違います!,아니에요!,아니에요!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,24,11,Kaidou,誰がこんなフヌケと!,누가 이런 놈이랑!,누가 이런 놈이랑!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,25,30,Yuri,それならいーや.<6E5C>海堂くん、<이름:3232>くんの<6E5C>相手してあげてよ!,"그럼 됐어.<6E5C>카이도, <이름:3232>군의<6E5C>상대해줘!","그럼 됐어.<6E5C>카이도, <이름:3232>군의<6E5C>상대해줘!"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,26,10,주인공,だから違うって……,아니라니까……,아니라니까……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,27,17,Kaidou,よーし!コテンパンにしてやるぜ!,좋아!박살내주마!,좋아!박살내주마!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,28,7,주인공,あぁもう……,아이참……,아이참……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,29,41,Yuri,と思ったけど、<이름:3232>くんタンコブ<6E5C>大きくなってきたからまた今度ね.<6E5C>待ってるから!,"했는데, <이름:3232>군 혹<6E5C>커진 거 같으니 다음에.<6E5C>기다릴게!","했는데, <이름:3232>군 혹<6E5C>커진 거 같으니 다음에.<6E5C>기다릴게!"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,30,5,주인공,はぁ……,하아……,하아……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,31,13,주인공,休憩させてくださいよ……,쉬게 해주세요……,쉬게 해주세요……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,32,17,Yuri,それくらいのケガで、情けないな~,"그 정도 상처로, 한심하네~","그 정도 상처로, 한심하네~"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,33,13,주인공,自分がケガさせといて……,자기가 다치게 하곤……,자기가 다치게 하곤……
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,34,11,UNKNOWN_1a,みっともないぜ、<이름:3131>,"한심하다, <이름:3131>","한심하다, <이름:3131>"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,35,9,주인공,……こ、この声は,……이 목소리는,……이 목소리는
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,36,4,주인공,海堂!,카이도,카이도
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,37,26,Kaidou,なんだ?オレ様がいると知ってて<6E5C>来たんじゃねーのか,뭐냐?오레사마가 있는 거 알면서<6E5C>온 거 아니냐,뭐냐?오레사마가 있는 거 알면서<6E5C>온 거 아니냐
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,38,14,Yuri,あれ?ふたりとも、お友達?,"어라?둘 다, 친구야?","어라?둘 다, 친구야?"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,39,6,주인공,違います!,아니에요!,아니에요!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,40,11,Kaidou,誰がこんなフヌケと!,누가 이런 놈이랑!,누가 이런 놈이랑!
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,41,33,Yuri,まぁいーや.<이름:3232>くん、<6E5C>今日はそこで寝ながら見学して<6E5C>いってね!,"됐어.<이름:3232>군, <6E5C>오늘은 거기서 자면서 구경하<6E5C>다 가!","됐어.<이름:3232>군, <6E5C>오늘은 거기서 자면서 구경하<6E5C>다 가!"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,42,7,주인공,は、はぁ……,"예, 예……","예, 예……"
dom1Yuri_L01.mes,Script/dom1Yuri_L01.mes,43,20,주인공,(とんでもない所に来ちゃった<6E5C>な……),(엄청난 곳에 와버렸<6E5C>네……),(엄청난 곳에 와버렸<6E5C>네……)
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,0,17,주인공,今日は普通に稽古してるのかな……,오늘은 평소대로 수련하려나……,오늘은 평소대로 수련하려나……
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,1,60,Yuri,あら、<이름:3232>くん.よく来たね.<6E5C>今日はね、小学生の部の子が、<6E5C>笹の葉に短冊をかざってるの<485C><이름:3232>くんも仲間に入ってくれる?,"어머, <이름:3232>군.잘 왔네.<6E5C>오늘은, 초등부 애들이,<6E5C>조릿대에 소원 종이 다는 거<485C><이름:3232>군도 같이 껴줄래?","어머, <이름:3232>군.잘 왔네.<6E5C>오늘은, 초등부 애들이,<6E5C>조릿대에 소원 종이 다는 거<485C><이름:3232>군도 같이 껴줄래?"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,2,6,[선택지],入る入らない,낀다안 낀다,낀다<6E5C>안낀다
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,3,13,주인공,お邪魔してもいいですか?,껴도 되나요?,껴도 되나요?
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,4,22,Yuri,もっちろん!<이름:3232>くんもお願い<6E5C>ゴトしてよ!,그럼!<이름:3232>군도 소원<6E5C>빌어봐!,그럼!<이름:3232>군도 소원<6E5C>빌어봐!
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,5,6,주인공,そーだなぁ,글쎄다,글쎄다
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,6,15,[선택지],お金持ちになりたい強くなりたい,부자 되고 싶다강해지고 싶다,부자되고 싶다<6E5C>강해지고 싶다
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,7,17,주인공,お金持ちになりたいって書こうかな,부자가 되고 싶다고 쓸까나,부자가 되고 싶다고 쓸까나
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,8,13,Yuri,え~.つまらない夢だなぁ,에~.시시한 꿈이네,에~.시시한 꿈이네
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,9,15,주인공,そうですか?普通だと思うけど,그런가요?평범한 것 같은데,그런가요?평범한 것 같은데
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,10,14,UNKNOWN_1a,しょせんその程度か、<이름:3131>~,"겨우 그 정도냐, <이름:3131>~","겨우 그 정도냐, <이름:3131>~"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,11,12,주인공,チッ.やっぱりいたのか,칫.역시 있었나,칫.역시 있었나
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,12,24,Kaidou,そんな器じゃ、到底オレ様に勝つこ<6E5C>とは無理だな,"그런 그릇으론, 오레사마를 이<6E5C>길 리 없지","그런 그릇으론, 오레사마를 이<6E5C>길 리 없지"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,13,9,주인공,どういう意味だよ,무슨 뜻이냐,무슨 뜻이냐
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,14,26,Kaidou,オレの短冊は『世界征服』だ!<6E5C>スケールが違うだろ!,내 소원은 『세계정복』이다!<6E5C>스케일이 다르지!,내 소원은 『세계정복』이다!<6E5C>스케일이 다르지!
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,15,9,주인공,おまえは子供か!,넌 애냐!,넌 애냐!
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,16,32,Yuri,まぁまぁ.どんな夢でもいいから、<6E5C>ホラ、短冊かざるの手伝って!,"자자.어떤 꿈이든 좋으니까,<6E5C>자, 종이 다는 거 도와줘!","자자.어떤 꿈이든 좋으니까,<6E5C>자, 종이 다는 거 도와줘!"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,17,4,UNKNOWN_12,はーい,네~,네~
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,18,23,UNKNOWN_29,々<0000><0000><0000><0000><0000><0028><001C><0002>強くなりたいって書こうかな,<0000><0000><0000><0000><0000><0028><001C><0002>강해지고 싶다고 쓸까나,々<0000><0000><0000><0000><0000><0028><001C><0002>강해지고 싶다고 쓸까나
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,19,15,Yuri,ホント!?みんなと同じだね!,정말!?다들 똑같네!,정말!?다들 똑같네!
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,20,5,주인공,みんな?,다들?,다들?
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,21,24,Yuri,子供達の短冊、ぜんぶ<6E5C>『つよくなりたい』だよ!,"애들 종이, 전부<6E5C>『강해지고 싶다』야!","애들 종이, 전부<6E5C>『강해지고 싶다』야!"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,22,13,주인공,小学生と同じレベルか……,초등학생 레벨이라니……,초등학생 레벨이라니……
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,23,55,Yuri,うれしいよ、あたし.<6E5C><이름:3232>くんもいっしょで<485C>それだけ、真剣に空手を<6E5C>身につけようと考えてるって<6E5C>コトだよね?,"기쁘네, 나.<6E5C><이름:3232>군도 같이라니<485C>그만큼, 진지하게 가라테를<6E5C>익히려고 생각한다는<6E5C>거지?","기쁘네, 나.<6E5C><이름:3232>군도 같이라니<485C>그만큼, 진지하게 가라테를<6E5C>익히려고 생각한다는<6E5C>거지?"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,24,5,주인공,まぁ……,뭐……,뭐……
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,25,44,Yuri,<이름:3232>くんが道場に来てくれる<6E5C>ようになって、とっても楽しいし.<6E5C>これからもよろしくッチ!,"<이름:3232>군이 도장에 와주게<6E5C>돼서, 너무 즐겁고.<6E5C>앞으로도 잘 부탁치!","<이름:3232>군이 도장에 와주게<6E5C>돼서, 너무 즐겁고.<6E5C>앞으로도 잘 부탁치!"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,26,6,주인공,お、押忍!,오스!,오스!
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,27,27,주인공,あ、イベントしてるんだったら、<6E5C>今日は遠慮しときます,"아, 행사 중이면,<6E5C>오늘은 사양할게요","아, 행사 중이면,<6E5C>오늘은 사양할게요"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,28,13,Yuri,そう?じゃ、また今度ね~,"그래?그럼, 다음에~","그래?그럼, 다음에~"
dom1Yuri_L02.mes,Script/dom1Yuri_L02.mes,29,19,주인공,(さすがに小学生の相手は<6E5C>なあ……),(역시 초등학생 상대는<6E5C>좀……),(역시 초등학생 상대는<6E5C>좀……)
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,0,12,Yuri,あら、<이름:3232>くん.稽古?,"어머, <이름:3232>군.수련?","어머, <이름:3232>군.수련?"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,1,24,[선택지],ユリをきもだめしに誘うユリをきもだめしに誘わない,유리를 담력시험에 부른다안 부른다,유리를 담력시험에 부른다<6E5C>안 부른다
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,2,32,[선택지],っ<0001><0000><0040><0034><0002>いえ、今日はユリさんをきもだめし<6E5C>に誘おうと思って,"<0001><0000><0040><0034><0002>아뇨, 오늘은 유리씨를 담력시험<6E5C>에 초대하려고요","っ<0001><0000><0040><0034><0002>아뇨, 오늘은 유리씨를 담력시험<6E5C>에 초대하려고요"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,3,7,Yuri,きもだめし?,담력시험?,담력시험?
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,4,41,주인공,今、清泉学園できもだめしやってる<6E5C>んですよ.よかったら、いっしょに<6E5C>見ませんか?,"지금, 청천학원에서 담력시험<6E5C>하고 있거든요.괜찮으면, 같이<6E5C>보러 갈래요?","지금, 청천학원에서 담력시험<6E5C>하고 있거든요.괜찮으면, 같이<6E5C>보러 갈래요?"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,5,23,Yuri,面白そうッチ!<6E5C>稽古まで時間あるから、いいよ,"재밌겠치!<6E5C>수련까지 시간 있으니까, 좋아","재밌겠치!<6E5C>수련까지 시간 있으니까, 좋아"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,6,5,주인공,やった!,됐다!,됐다!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,7,5,UNKNOWN_1a,<이름:3131>~~,<이름:3131>~~,<이름:3131>~~
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,8,21,Kaidou,ユリ師範を誘うとは、<6E5C>いい度胸じゃねーか,"유리 사범을 초대하다니,<6E5C>배짱 좋잖아","유리 사범을 초대하다니,<6E5C>배짱 좋잖아"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,9,20,주인공,オバケより気味の悪いヤツが出てき<6E5C>たな,유령보다 기분 나쁜 놈이 나<6E5C>왔네,유령보다 기분 나쁜 놈이 나<6E5C>왔네
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,10,25,Kaidou,んだとぉ?テメェ、ここでオレと<6E5C>決着つけるかよ!,"뭐라고?짜식, 여기서 나랑<6E5C>결판낼 거냐!","뭐라고?짜식, 여기서 나랑<6E5C>결판낼 거냐!"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,11,6,[선택지],戦う無視する,싸운다무시,싸운다<6E5C>무시
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,12,11,주인공,よし、望むところだ!,좋아 바라는 바다!,좋아 바라는 바다!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,13,7,Kaidou,おっしゃあ!,오샤아!,오샤아!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,14,16,Yuri,コラー!ふたりともやめるッチ!,이놈들!둘 다 그만두치!,이놈들!둘 다 그만두치!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,15,7,주인공,ユリさん……,유리씨……,유리씨……
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,16,31,Yuri,ケンカはほどほどに!どうせなら、<6E5C>3人できもだめしするッチ!,"싸움은 적당히!기왕이면,<6E5C>셋이서 담력시험 하치!","싸움은 적당히!기왕이면,<6E5C>셋이서 담력시험 하치!"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,17,4,UNKNOWN_12,えーっ,에엑,에엑
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,18,5,[효과음/내레이션],…………,……,……
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,19,8,[효과음/내레이션],ドロドロドロ~,스르르르~,스르르르~
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,20,4,Kaidou,ワー!,으악!,으악!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,21,7,[효과음/내레이션],うらめしや~,원통하다~,원통하다~
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,22,6,Kaidou,ぎゃあ~!,꺄악~!,꺄악~!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,23,12,Yuri,海堂くん、怖がりッチ!,"카이도, 겁쟁이치!","카이도, 겁쟁이치!"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,24,32,주인공,(なんで暗闇で海堂なんかの悲鳴<6E5C>閉かないといけないんだよ……),(왜 어둠 속 카이도 따위<6E5C>비명을 들어야 하는 거야……),(왜 어둠 속 카이도 따위<6E5C>비명을 들어야 하는 거야……)
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,25,28,UNKNOWN_29,><0000><0000><0000><0000><0018><FFFF><0000><0000><0000><0000><0000><0028><001A><0002>ユリさん、走りましょう!,"<0000><0000><0000><0000><0018><FFFF><0000><0000><0000><0000><0000><0028><001A><0002>유리씨, 뛰어요!","><0000><0000><0000><0000><0018><FFFF><0000><0000><0000><0000><0000><0028><001A><0002>유리씨, 뛰어요!"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,26,3,Yuri,え?,어?,어?
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,27,40,주인공,こんなヤツにかまってたら、<6E5C>きもだめし終わっちゃいますよ.<6E5C>早く行きましょう!,"이런 놈 신경 쓰다간,<6E5C>담력시험 끝나버려요.<6E5C>빨리 가요!","이런 놈 신경 쓰다간,<6E5C>담력시험 끝나버려요.<6E5C>빨리 가요!"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,28,10,Yuri,アハハ!オッケイ!,아하하!오케이!,아하하!오케이!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,29,13,Kaidou,あ、どこに行く、<이름:3131>!!,"야, 어디 가냐 <이름:3131>!","야, 어디 가냐 <이름:3131>!"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,30,8,[효과음/내레이션],ドロドロドロ~,스르르르~,스르르르~
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,31,4,Yuri,キャー,꺄,꺄
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,32,7,[효과음/내레이션],うらめしや~,원통하다~,원통하다~
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,33,9,Yuri,ちょうアッパー!,필살 어퍼컷!,필살 어퍼컷!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,34,4,[효과음/내레이션],バキッ,퍽!,퍽!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,35,18,Yuri,ありがと、<이름:3232>くん!<6E5C>楽しかった!,"고마워, <이름:3232>군!<6E5C>즐거웠어!","고마워, <이름:3232>군!<6E5C>즐거웠어!"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,36,31,주인공,オバケがひとり殴られてた気がする<6E5C>けど……俺も楽しかったです,유령이 한 명 맞은 거 같은<6E5C>느낌인데……저도 즐거웠어요,유령이 한 명 맞은 거 같은<6E5C>느낌인데……저도 즐거웠어요
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,37,21,UNKNOWN_29,<0100><0000><0000><0000><0000><0000><0024><0018><0002>稽古つけてくれますか?,<0100><0000><0000><0000><0000><0000><0024><0018><0002>수련 봐주실래요?,<0100><0000><0000><0000><0000><0000><0024><0018><0002>수련 봐주실래요?
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,38,9,Yuri,もちろんだッチ!,물론이지치!,물론이지치!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,39,8,[효과음/내레이션],バキ!<020A>ドカ!,퍽!<020A>퍽!,퍽!<020A>퍽!
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,40,12,Yuri,<이름:3232>くん、楽しんでる?,"<이름:3232>군, 즐거워?","<이름:3232>군, 즐거워?"
dom1Yuri_L03.mes,Script/dom1Yuri_L03.mes,41,20,주인공,(た、楽しいって言うか痛い<6E5C>です……),"(즐, 즐겁다기보단 아<6E5C>파요……)","(즐, 즐겁다기보단 아<6E5C>파요……)"
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,0,12,주인공,(ぶらりと歩くか……),(어슬렁 걸을까……),(어슬렁 걸을까……)
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,1,15,UNKNOWN_1c,あっぶな~い!<020A>よけてぇー!,위험해~!<020A>비켜어!,위험해~!<020A>비켜어!
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,2,11,주인공,(こ、この声は……),(이 목소리는……),(이 목소리는……)
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,3,7,[효과음/내레이션],キキキキィー,끼이이익!,끼이이익!
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,4,5,[효과음/내레이션],ひょいっ,폴짝!,폴짝!
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,5,8,[효과음/내레이션],ドッカーーン!,쾅!,쾅!
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,6,6,UNKNOWN_1c,いたた……,아야야……,아야야……
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,7,12,주인공,大丈夫ですか、ユリさん,"괜찮아요, 유리씨","괜찮아요, 유리씨"
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,8,21,Yuri,<이름:3232>くん…….よくよけたね.<6E5C>いたた……,<이름:3232>군……. 잘 피했네.<6E5C>아야야……,<이름:3232>군……. 잘 피했네.<6E5C>아야야……
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,9,41,주인공,さすがにもう慣れましたよ.ユリさ<6E5C>ん……まだそのボロ自転車に乗って<6E5C>るんですか?,이제 완전 익숙해졌어요.유리씨<6E5C>……아직도 그 고물 자전거 타는<6E5C>거예요?,이제 완전 익숙해졌어요.유리씨<6E5C>……아직도 그 고물 자전거 타는<6E5C>거예요?
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,10,3,Yuri,うん,응,응
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,11,40,주인공,あーあ、もう完全に壊れましたよ.<6E5C>しかたないなぁ、俺が押していって<6E5C>あげますよ,"아이고, 이제 완전히 망가졌네요.<6E5C>어쩔 수 없죠, 제가 밀어<6E5C>드릴게요","아이고, 이제 완전히 망가졌네요.<6E5C>어쩔 수 없죠, 제가 밀어<6E5C>드릴게요"
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,12,31,Yuri,ありがと!道場までお願いね.<6E5C>フィットネスクラブの帰りなの!,고마워!도장까지 부탁해.<6E5C>피트니스클럽 가는 길이었거든!,고마워!도장까지 부탁해.<6E5C>피트니스클럽 가는 길이었거든!
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,13,21,주인공,フィットネス?<6E5C>へえ、習ってるんですか?,"피트니스?<6E5C>오, 배우고 계세요?","피트니스?<6E5C>오, 배우고 계세요?"
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,14,20,Yuri,ううん.インストラクターのバイト<6E5C>だよ,아니.강사 알바야<6E5C>,아니.강사 알바야<6E5C>
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,15,22,주인공,え!道場だけじゃないんですか、<6E5C>教えてるの,"네!도장뿐만이 아니었어요,<6E5C>가르치는 게","네!도장뿐만이 아니었어요,<6E5C>가르치는 게"
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,16,30,Yuri,道場だけじゃ家計が成り立たないか<6E5C>らね~.バイトもしないと,도장만으론 생계가 안 되니<6E5C>까~.알바도 해야지,도장만으론 생계가 안 되니<6E5C>까~.알바도 해야지
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,17,21,주인공,そうだったんですか…….大変です<6E5C>ね……,그러셨군요…….힘드시<6E5C>겠네요……,그러셨군요…….힘드시<6E5C>겠네요……
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,18,14,Yuri,もぅ慣れっこ.よゆうッチ!,이제 익숙해.여유치!,이제 익숙해.여유치!
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,19,51,주인공,(……だから自転車も修理に出せな<6E5C>いのか…….そんな苦労も垣間みせ<6E5C>ず、ユリさんはいつも笑顔で……),"(……자전거 수리도 못 맡<6E5C>기는구나…….그런 고생도 티<6E5C>안 내고, 유리씬 늘 웃는데……)","(……자전거 수리도 못 맡<6E5C>기는구나…….그런 고생도 티<6E5C>안 내고, 유리씬 늘 웃는데……)"
dom1Yuri_L04.mes,Script/dom1Yuri_L04.mes,20,16,Yuri,どうしたの?目がうるんでるけど,왜 그래?눈이 촉촉한데,왜 그래?눈이 촉촉한데
