file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,0,19,UNKNOWN_1e,<이름:3232>クン、イ~ところで<6E5C>会ったわネ~,"<이름:3232>군, 이런 데서 다<6E5C>만나네~","<이름:3232>군, 이런 데서 다<6E5C>만나네~"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,1,17,주인공,キサラ、こんな時間にお出かけか?,"키사라, 이 시간에 나가?","키사라, 이 시간에 나가?"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,2,45,Kisarah,フフフッ.今からボク、あの世界の<6E5C>トップアイドル、麻宮アテナの<6E5C>コンサートに行くんだぁ!,"후후훗. 나 지금부터, 그<6E5C>세계 톱 아이돌, 아사미야<6E5C>아테나 콘서트 가는 거야!","후후훗. 나 지금부터, 그<6E5C>세계 톱 아이돌, 아사미야<6E5C>아테나 콘서트 가는 거야!"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,3,9,주인공,ええっ、麻宮の?,"엇, 아사미야?","엇, 아사미야?"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,4,28,Kisarah,ア、そーか.<이름:3232>クンは<6E5C>麻宮アテナと友達だったんだよね,"아, 맞다.<이름:3232>군은<6E5C>아사미야 아테나랑 친구였지","아, 맞다.<이름:3232>군은<6E5C>아사미야 아테나랑 친구였지"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,5,33,주인공,友達というか、清泉学園の3年のと<6E5C>きにクラスが同じだっただけだよ,"친구라기보다, 세이센 학원 3학년<6E5C>때 같은 반이었을 뿐이야","친구라기보다, 세이센 학원 3학년<6E5C>때 같은 반이었을 뿐이야"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,6,38,Kisarah,じゃー懐かしい再会のために、<6E5C>ボクのコンサート鑑賞に<6E5C>同伴させてあげるヨ~,"그럼 그리운 재회를 위해,<6E5C>내 콘서트 관람에<6E5C>동행시켜줄게~","그럼 그리운 재회를 위해,<6E5C>내 콘서트 관람에<6E5C>동행시켜줄게~"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,7,15,주인공,え、チケットもう1枚あるの?,"어, 표 한 장 더 있어?","어, 표 한 장 더 있어?"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,8,73,Kisarah,実は今日、デートに誘われててさ.<6E5C>プラチナチケットだからOKしたけ<6E5C>ど、チョームカつく男だから<485C>さっき別れてきたの.<6E5C>チケット2枚は確保してネ!,"실은 오늘, 데이트 초대받았거든.<6E5C>플래티넘 표라 승낙했는데<6E5C>완전 짜증 나는 남자라<485C>방금 헤어지고 왔어.<6E5C>표 두 장은 확보해놨지!","실은 오늘, 데이트 초대받았거든.<6E5C>플래티넘 표라 승낙했는데<6E5C>완전 짜증 나는 남자라<485C>방금 헤어지고 왔어.<6E5C>표 두 장은 확보해놨지!"
dom2Athena_L01.mes,Script/dom2Athena_L01.mes,9,9,Kisarah,さ、レッツゴー★,"자, 렛츠 고★","자, 렛츠 고★"
