file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,0,27,주인공,(そういえば、もうすぐここで<6E5C>夏祭りがあるんだなぁ),"(그러고 보니, 곧 여기서<6E5C>여름 축제가 있구나)","(그러고 보니, 곧 여기서<6E5C>여름 축제가 있구나)"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,1,11,Chizuru,いらっしゃい、<이름:3131>君,"어서 와, <이름:3131>군","어서 와, <이름:3131>군"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,2,7,주인공,あ、神楽先輩,카구라 선배,카구라 선배
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,3,11,Chizuru,あら、そっけないわね,"어머, 쌀쌀맞네","어머, 쌀쌀맞네"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,4,22,Chizuru,私に会いに来てくれたわけでは<6E5C>ないのかしら,날 만나러 온 건 아닌가 보네,날 만나러 온 건 아닌가 보네
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,5,30,주인공,(もしかしたらフィオがいるかなと<6E5C>思って来たんだけど……),(혹시 피오가 있을까 해서<6E5C>온 건데……),(혹시 피오가 있을까 해서<6E5C>온 건데……)
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,6,19,[선택지],友だちを探しに来た神楽先輩に会いに来た,친구 찾으러 왔다선배 만나러 왔다,친구 찾으러 왔다\선배 만나러 왔다
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,7,19,주인공,いえ、今日は友だちを探しに……<6E5C>あ!,"아뇨, 친구를 찾으러……<6E5C>앗!","아뇨, 친구를 찾으러……<6E5C>앗!"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,8,7,[효과음/내레이션],ずってーん!,쿠당탕!,쿠당탕!
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,9,6,UNKNOWN_1e,いたたた…,아야야……,아야야……
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,10,6,주인공,……フィオ,……피오,……피오
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,11,21,Fio,フィオさん平気です!<6E5C>だいじょうぶです!,피오는 괜찮아요!<6E5C>문제없어요!,피오는 괜찮아요!<6E5C>문제없어요!
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,12,28,Chizuru,あらあら、<이름:3131>君が探してた<6E5C>お友だちは、この方かしら?,"어머어머, <이름:3131>군이 찾던<6E5C>친구가 이 아이인가?","어머어머, <이름:3131>군이 찾던<6E5C>친구가 이 아이인가?"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,13,14,Fio,へ?<이름:3232>さんがわたしを!?,네? <이름:3232>씨가 저를요!?,네? <이름:3232>씨가 저를요!?
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,14,21,주인공,あ、うん.<6E5C>一緒にレポートしようと思って,"아, 응. 같이 리포트<6E5C>하려고","아, 응. 같이 리포트<6E5C>하려고"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,15,21,Chizuru,ふふ、仲がよろしいのね.<6E5C>うらやましいわ,"후후, 사이가 좋네.<6E5C>부럽구나","후후, 사이가 좋네.<6E5C>부럽구나"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,16,27,주인공,(少し誤解があるような気がする<6E5C>けど……まぁいいか),"(오해가 있는 것 같지만<6E5C>……뭐, 괜찮겠지)","(오해가 있는 것 같지만<6E5C>……뭐, 괜찮겠지)"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,17,21,주인공,い、いえ、神楽先輩に会いに<6E5C>来たんですよ,"아뇨, 카구라 선배 만나러<6E5C>온 거예요","아뇨, 카구라 선배 만나러<6E5C>온 거예요"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,18,20,Chizuru,うれしいわ.<6E5C>ゼミの課題のことかしら?,기쁘네. 세미나 과제<6E5C>때문이려나?,기쁘네. 세미나 과제<6E5C>때문이려나?
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,19,32,주인공,そ、そうです.神楽神社の歴史に<6E5C>ついて閉きたいな、と思いまして,"마, 맞아요. 카구라 신사의<6E5C>역사에 대해 알고 싶어서요","마, 맞아요. 카구라 신사의<6E5C>역사에 대해 알고 싶어서요"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,20,37,주인공,(お、とっさに思いついたにしては<6E5C>、けっこうまともな<6E5C>質問じゃないか?),"(오, 순간적으로 떠올린 것치곤<6E5C>꽤 그럴싸한 질문이잖아?)","(오, 순간적으로 떠올린 것치곤<6E5C>꽤 그럴싸한 질문이잖아?)"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,21,9,Chizuru,神楽神社の歴史?,신사 역사?,신사 역사?
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,22,12,주인공,はい、成り立ちとか……,"네, 유래라든가……","네, 유래라든가……"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,23,51,Chizuru,成り立ちか……<485C>この神社は神道を信仰するために<6E5C>作られたものではなく、<6E5C>とあるものを護るための社なの,"유래라……<485C>이 신사는 신도를 믿기 위해<6E5C>만들어진 게 아니라, 어떤 걸<6E5C>지키기 위한 사당이야","유래라……<485C>이 신사는 신도를 믿기 위해<6E5C>만들어진 게 아니라, 어떤 걸<6E5C>지키기 위한 사당이야"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,24,7,주인공,とあるもの?,어떤 것?,어떤 것?
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,25,32,Chizuru,存在するだけで人を不幸にして<6E5C>しまうものが、世の中にはあるのよ,존재하는 것만으로 사람을<6E5C>불행하게 만드는 게 세상엔 있어,존재하는 것만으로 사람을<6E5C>불행하게 만드는 게 세상엔 있어
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,26,23,주인공,何かの武器とか道具とか、<6E5C>そういうものですか,"뭔가 무기나 도구, 그런<6E5C>거예요?","뭔가 무기나 도구, 그런<6E5C>거예요?"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,27,57,Chizuru,残念だけど中身は教えられないわ<485C>ここは神聖な地であると同時に、<6E5C>悲しい時代を甦らせないための<6E5C>封印の地でもあるの,"안타깝지만 정체는 못 알려줘<485C>여긴 신성한 땅이자, 슬픈<6E5C>시대를 되살리지 않기 위한<6E5C>봉인의 땅이기도 해","안타깝지만 정체는 못 알려줘<485C>여긴 신성한 땅이자, 슬픈<6E5C>시대를 되살리지 않기 위한<6E5C>봉인의 땅이기도 해"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,28,11,주인공,む、難しいですね……,"으, 어렵네요……","으, 어렵네요……"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,29,38,Chizuru,ごめんなさい、お見せできないなら<6E5C>、あまりゼミの課題の役には<6E5C>立たないわね,"미안해, 보여줄 수 없으니까<6E5C>세미나 과제엔 별 도움이<6E5C>안 되겠네","미안해, 보여줄 수 없으니까<6E5C>세미나 과제엔 별 도움이<6E5C>안 되겠네"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,30,29,주인공,い、いえ、そんなことないです.<6E5C>ありがとうございました!,"아, 아뇨, 그렇지 않아요.<6E5C>감사했습니다!","아, 아뇨, 그렇지 않아요.<6E5C>감사했습니다!"
dom2Chizuru_L01.mes,Script/dom2Chizuru_L01.mes,31,45,주인공,(でも、そんな話初めて閉いたなあ<6E5C>……これってものすごく貴重な<6E5C>話だったんじゃないか?),"(근데, 그런 얘긴 처음 들었네<6E5C>……이거 엄청 귀중한 얘기<6E5C>아니었을까?)","(근데, 그런 얘긴 처음 들었네<6E5C>……이거 엄청 귀중한 얘기<6E5C>아니었을까?)"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,0,7,[효과음/내레이션],ブォォォン!,부와아앙!,부와아앙!
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,1,14,주인공,(な、なんだこの爆音は!),(뭐야 이 굉음은!),(뭐야 이 굉음은!)
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,2,10,Chizuru,こんにちは、<이름:3131>君,"안녕, <이름:3131>군","안녕, <이름:3131>군"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,3,31,주인공,か、神楽先輩!これって、先輩の<6E5C>バイクの音だったんですか!?,"카, 카구라 선배! 이거,<6E5C>선배 오토바이 소리였어요!?","카, 카구라 선배! 이거,<6E5C>선배 오토바이 소리였어요!?"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,4,14,Chizuru,そうよ.素敵な音でしょう?,맞아. 멋진 소리지?,맞아. 멋진 소리지?
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,5,9,주인공,そ、そうですか?,"그, 그런가요?","그, 그런가요?"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,6,17,UNKNOWN_1e,ったく、お前は全然わかってねぇな,"흥, 넌 전혀 모르는구나","흥, 넌 전혀 모르는구나"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,7,8,주인공,あ、草薙先輩!,쿠사나기!,쿠사나기!
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,8,24,Kyo,神楽、なかなかいいバイクに乗って<6E5C>るじゃねぇか,"카구라, 제법 괜찮은 오토바이<6E5C>타고 있잖아","카구라, 제법 괜찮은 오토바이<6E5C>타고 있잖아"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,9,20,Chizuru,あら、わかってもらえる?<6E5C>さすが草薙ね,"어머, 알아주는구나?<6E5C>쿠사나기답네","어머, 알아주는구나?<6E5C>쿠사나기답네"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,10,33,Kyo,へっ、当然だろ.ん、なんだよ神楽<6E5C>.リアサスはいじってねぇのか?,"당연하지. 근데 카구라,<6E5C>리어 서스는 안 건드렸냐?","당연하지. 근데 카구라,<6E5C>리어 서스는 안 건드렸냐?"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,11,38,Chizuru,少し柔らかくしようかとも思ったん<6E5C>だけど、あまり跳ねるように<6E5C>してもね……,"조금 부드럽게 할까 했는데,<6E5C>너무 튀는 것도 그렇고……","조금 부드럽게 할까 했는데,<6E5C>너무 튀는 것도 그렇고……"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,12,39,Kyo,なに言ってんだよ.それも醒酬味<6E5C>じゃねぇか.なぁ<이름:3232>.<6E5C>お前もそう思うだろ?,무슨 소리야. 그것도 묘미<6E5C>아니냐. 야 <이름:3232>.<6E5C>너도 그렇게 생각하지?,무슨 소리야. 그것도 묘미<6E5C>아니냐. 야 <이름:3232>.<6E5C>너도 그렇게 생각하지?
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,13,10,주인공,え?あ、えっと……,네? 그게……,네? 그게……
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,14,16,[선택지],今のままでいい改造したほうがいい,이대로가 좋다개조하는 게 좋다,이대로가 좋다\개조하는 게 좋다
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,15,32,주인공,よ、よくわからないですけど、<6E5C>今のままでいいんじゃないですか?,"자, 잘 모르겠지만, 지금<6E5C>이대로가 좋지 않을까요?","자, 잘 모르겠지만, 지금<6E5C>이대로가 좋지 않을까요?"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,16,11,Chizuru,よく言ったわ、<이름:3131>君,"잘 말했어, <이름:3131>군","잘 말했어, <이름:3131>군"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,17,28,Chizuru,私のバイクはデリケートなんだから<6E5C>、このままでいいのよ,"내 오토바이는 섬세하니까,<6E5C>이대로가 좋은 거야","내 오토바이는 섬세하니까,<6E5C>이대로가 좋은 거야"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,18,24,Kyo,ちっ、まったくお前らふたりとも<6E5C>わかってねぇよ,"흥, 정말 너희 둘 다<6E5C>모르는구나","흥, 정말 너희 둘 다<6E5C>모르는구나"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,19,10,주인공,す、すみません……,"죄, 죄송해요……","죄, 죄송해요……"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,20,22,주인공,(バイクのことなんて<6E5C>わからないよ……!),(오토바이 같은 거 모른다고……!),(오토바이 같은 거 모른다고……!)
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,21,35,주인공,よ、よくわからないですけど、<6E5C>改造したほうがいいんじゃ<6E5C>ないですか?,"자, 잘 모르겠지만, 개조하는<6E5C>편이 좋지 않을까요?","자, 잘 모르겠지만, 개조하는<6E5C>편이 좋지 않을까요?"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,22,21,Chizuru,<이름:3131>君……あなたもわかってくれ<6E5C>ないのね,<이름:3131>군…… 너도<6E5C>몰라주는구나,<이름:3131>군…… 너도<6E5C>몰라주는구나
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,23,10,Kyo,<이름:3232>、よく言ったぜ,"<이름:3232>, 잘 말했다","<이름:3232>, 잘 말했다"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,24,55,Kyo,いいか、神楽.<6E5C>お前もレースに出るんだったら、<485C>リアサスもしっかり<6E5C>替えとかねぇと、ろくな走りが<6E5C>できねぇぜ,"잘 들어, 카구라.<6E5C>너도 레이스에 나갈 거면,<485C>리어 서스도 제대로<6E5C>바꿔놔야, 제대로 못 달려","잘 들어, 카구라.<6E5C>너도 레이스에 나갈 거면,<485C>리어 서스도 제대로<6E5C>바꿔놔야, 제대로 못 달려"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,25,16,Chizuru,仕方ないでしょう、高いんだから,"어쩔 수 없잖아, 비싸니까","어쩔 수 없잖아, 비싸니까"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,26,19,주인공,(あ、経済的な理由だったんだ……<6E5C>),"(아, 경제적인 이유였구나……)","(아, 경제적인 이유였구나……)"
dom2Chizuru_L02.mes,Script/dom2Chizuru_L02.mes,27,6,Kyo,やれやれだ,"어휴, 참","어휴, 참"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,0,7,주인공,あ、暑い……,더워……,더워……
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,1,8,UNKNOWN_1e,本当に暑いわね,정말 덥네,정말 덥네
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,2,15,주인공,あ、神楽先輩.暑いですね……,"카구라 선배, 덥네요……","카구라 선배, 덥네요……"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,3,13,Chizuru,海にでも行きたいところね,바다라도 가고 싶네,바다라도 가고 싶네
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,4,8,주인공,いいですね、海,"좋네요, 바다","좋네요, 바다"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,5,10,Chizuru,じゃあ行きましょう,그럼 가자,그럼 가자
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,6,3,주인공,え?,네?,네?
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,7,14,Chizuru,海よ.思い立ったらすぐ実行,바다야. 떠오르면 실행,바다야. 떠오르면 실행
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,8,6,Chizuru,善は急げよ,서두르자,서두르자
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,9,6,주인공,え?<020A>え?,네?<020A>네?,네?<020A>네?
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,10,7,[효과음/내레이션],ブォォォン!,부와아앙!,부와아앙!
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,11,11,Chizuru,行くわよ!さあ乗って,"간다! 자, 타","간다! 자, 타"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,12,42,주인공,(なんだ?どうなってるんだ?<6E5C>どうして僕は神楽先輩のバイクに<6E5C>乗せられてるんだ?),(뭐지? 이게 어떻게 된 거야?<6E5C>왜 카구라 선배 오토바이에<6E5C>타고 있지?),(뭐지? 이게 어떻게 된 거야?<6E5C>왜 카구라 선배 오토바이에<6E5C>타고 있지?)
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,13,16,주인공,(う、揺れる……よ、酔う……),(흔들려…… 어지러워……),(흔들려…… 어지러워……)
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,14,10,주인공,(う……動けない),(못 움직이겠어),(못 움직이겠어)
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,15,8,Chizuru,だいじょうぶ?,괜찮아?,괜찮아?
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,16,31,주인공,あ、神楽先輩.すみません、<6E5C>ちょっと酔っちゃったみたいで……,"아, 카구라 선배. 죄송해요,<6E5C>멀미 난 것 같아서……","아, 카구라 선배. 죄송해요,<6E5C>멀미 난 것 같아서……"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,17,23,주인공,(あれ、いつの間に水着に<6E5C>着替えたんだろう),"(어라, 언제 수영복으로<6E5C>갈아입은 거지)","(어라, 언제 수영복으로<6E5C>갈아입은 거지)"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,18,10,주인공,(ま、眩しい……),(눈부셔……),(눈부셔……)
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,19,22,Chizuru,ゆっくり休んでらっしゃい.<6E5C>私も少し休むわ,천천히 쉬고 있어.<6E5C>나도 좀 쉴게,천천히 쉬고 있어.<6E5C>나도 좀 쉴게
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,20,36,주인공,神楽先輩、行動力ありますね…….<6E5C>いきなり海までバイクを<6E5C>飛ばすなんて,"카구라 선배, 행동력 있네요<6E5C>…… 바다까지 오토바이<6E5C>몰다니","카구라 선배, 행동력 있네요<6E5C>…… 바다까지 오토바이<6E5C>몰다니"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,21,16,Chizuru,ふふ、何事も後悔したくないのよ,"후후, 후회하고 싶지 않아서","후후, 후회하고 싶지 않아서"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,22,56,Chizuru,私は仕事では神社に縛られている<6E5C>から、自由に使える時間では、<485C>やりたいと思ったことは<6E5C>我慢しないようにしてるの,"난 일할 땐 신사에 매여 있으니까<6E5C>, 자유로운 시간엔, 하고 싶은<485C>일은 참지 않으려 하고 있어","난 일할 땐 신사에 매여 있으니까<6E5C>, 자유로운 시간엔, 하고 싶은<485C>일은 참지 않으려 하고 있어"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,23,50,주인공,(あれ、でもさっき巫女姿だったよ<6E5C>な…….仕事中だったんじゃないの<6E5C>かな?縛られてないじゃないか),"(어라, 근데 아까 무녀 차림<6E5C>이었잖아…… 일하던 중<6E5C>아니었나? 안 매여 있잖아)","(어라, 근데 아까 무녀 차림<6E5C>이었잖아…… 일하던 중<6E5C>아니었나? 안 매여 있잖아)"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,24,22,Chizuru,どうしたの、黙り込んで.<6E5C>そんなに辛いの?,왜 입을 다물고.<6E5C>그렇게 힘들어?,왜 입을 다물고.<6E5C>그렇게 힘들어?
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,25,22,주인공,(そ、そんなに顔を近づけられ<6E5C>たら……!),"(그, 그렇게 얼굴을<6E5C>가까이하면……!)","(그, 그렇게 얼굴을<6E5C>가까이하면……!)"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,26,24,Chizuru,まあ、顔も赤いわね.<6E5C>本当にだいじょうぶかしら,"어머, 얼굴도 빨갛네.<6E5C>정말 괜찮으려나","어머, 얼굴도 빨갛네.<6E5C>정말 괜찮으려나"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,27,28,주인공,(こ、この人、わざとやってるん<6E5C>じゃないだろうな……),"(이, 이 사람, 일부러<6E5C>이러는 거 아니겠지……)","(이, 이 사람, 일부러<6E5C>이러는 거 아니겠지……)"
dom2Chizuru_L03.mes,Script/dom2Chizuru_L03.mes,28,45,주인공,(結局、僕はバイクと神楽先輩に<6E5C>酔ってしまって、波とたわむれる<6E5C>こともできなかった……),"(결국, 난 오토바이랑 카구라<6E5C>선배한테 취해서, 파도와<6E5C>놀지도 못했다……)","(결국, 난 오토바이랑 카구라<6E5C>선배한테 취해서, 파도와<6E5C>놀지도 못했다……)"
dom2Chizuru_L04.mes,Script/dom2Chizuru_L04.mes,0,4,UNKNOWN_0x1e,<이름:3131>君,<이름:3131>군,<이름:3131>군
dom2Chizuru_L04.mes,Script/dom2Chizuru_L04.mes,1,10,주인공,(こ、この声は!),(이 목소리는!),(이 목소리는!)
dom2Chizuru_L04.mes,Script/dom2Chizuru_L04.mes,2,9,주인공,マ、マチュアさん,"마, 마츄어 씨","마, 마츄어 씨"
dom2Chizuru_L04.mes,Script/dom2Chizuru_L04.mes,3,5,Mature,わかるわ,알아,알아
dom2Chizuru_L04.mes,Script/dom2Chizuru_L04.mes,4,3,주인공,え?,어?,어?
