file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Festival.mes,Script/dom2Festival.mes,0,16,주인공,(あれ?もうこんな時間か……),"(어라, 벌써 시간이……)","(어라, 벌써 시간이……)"
dom2Festival.mes,Script/dom2Festival.mes,1,28,Hotaru,お兄ちゃん、今日は夏祭りだね!<6E5C>誰かと行く予定あるの?,"오빠, 오늘 여름 축제네!<6E5C>누구랑 갈 거야?","오빠, 오늘 여름 축제네!<6E5C>누구랑 갈 거야?"
dom2Festival.mes,Script/dom2Festival.mes,2,7,주인공,うん.まあね,"응, 뭐","응, 뭐"
dom2Festival.mes,Script/dom2Festival.mes,3,6,Hotaru,ふーん……,흐응……,흐응……
dom2Festival.mes,Script/dom2Festival.mes,4,20,주인공,じゃ、そろそろ待ち合わせの<6E5C>時間だから,"그럼, 슬슬 약속<6E5C>시간이니까","그럼, 슬슬 약속<6E5C>시간이니까"
dom2Festival.mes,Script/dom2Festival.mes,5,10,Hotaru,いってらっしゃ~い,다녀와~,다녀와~
dom2Festival.mes,Script/dom2Festival.mes,6,15,주인공,(あ、巳沢さん、もう来てる),"(아, 미사와 씨 왔네)","(아, 미사와 씨 왔네)"
dom2Festival.mes,Script/dom2Festival.mes,7,9,주인공,ごめん、お待たせ,"미안, 기다렸지","미안, 기다렸지"
dom2Festival.mes,Script/dom2Festival.mes,8,15,Shizuku,ううん、私もさっき来たところ,"아니, 나도 방금 왔어","아니, 나도 방금 왔어"
dom2Festival.mes,Script/dom2Festival.mes,9,5,주인공,行こうか,갈까,갈까
dom2Festival.mes,Script/dom2Festival.mes,10,3,Shizuku,うん,응,응
dom2Festival.mes,Script/dom2Festival.mes,11,10,Kisarah,<이름:3232>クン、遅いよ~,"<이름:3232>군, 늦었어~","<이름:3232>군, 늦었어~"
dom2Festival.mes,Script/dom2Festival.mes,12,24,주인공,ごめんごめん……って、<6E5C>時間ピッタリじゃないか,"미안 미안…… 어라,<6E5C>시간 딱 맞잖아","미안 미안…… 어라,<6E5C>시간 딱 맞잖아"
dom2Festival.mes,Script/dom2Festival.mes,13,15,Kisarah,ううんっ.30秒は待ったよ!,아니거든! 30초 기다렸어,아니거든! 30초 기다렸어
dom2Festival.mes,Script/dom2Festival.mes,14,12,주인공,秒単位で待たれても……,초 단위로 기다렸다…,초 단위로 기다렸다…
dom2Festival.mes,Script/dom2Festival.mes,15,17,Kisarah,ボク、楽しみにしてたんだからっ!,"나, 완전 기대했단 말이야!","나, 완전 기대했단 말이야!"
dom2Festival.mes,Script/dom2Festival.mes,16,6,[효과음/내레이션],ずってーん,쿵!,쿵!
dom2Festival.mes,Script/dom2Festival.mes,17,11,주인공,……その音は、フィオ,"…그 소리는, 피오","…그 소리는, 피오"
dom2Festival.mes,Script/dom2Festival.mes,18,13,Fio,はわわ!お待たせですっ!,하와와! 기다렸죠!,하와와! 기다렸죠!
dom2Festival.mes,Script/dom2Festival.mes,19,24,주인공,待ってないよ.<6E5C>急がなくていいから、ほら立って,"안 기다렸어.<6E5C>서두르지 말고, 자 일어나","안 기다렸어.<6E5C>서두르지 말고, 자 일어나"
dom2Festival.mes,Script/dom2Festival.mes,20,15,Fio,はいっ!今日は楽しみですぅ!,네! 오늘 정말 기대돼요~,네! 오늘 정말 기대돼요~
dom2Festival.mes,Script/dom2Festival.mes,21,13,주인공,(えっと……神楽先輩は),(근데…… 선배는),(근데…… 선배는)
dom2Festival.mes,Script/dom2Festival.mes,22,25,주인공,いたいた.<6E5C>神楽先輩、すみません、<6E5C>お待たせして,"있다, 있어.<6E5C>선배, 기다리게<6E5C>해서 죄송해요","있다, 있어.<6E5C>선배, 기다리게<6E5C>해서 죄송해요"
dom2Festival.mes,Script/dom2Festival.mes,23,13,Chizuru,構わないわ.行きましょう,괜찮아. 가자꾸나,괜찮아. 가자꾸나
dom2Festival.mes,Script/dom2Festival.mes,24,3,주인공,はい,네,네
dom2Festival.mes,Script/dom2Festival.mes,25,7,[효과음/내레이션],ガヤガヤ……,왁자지껄……,왁자지껄……
dom2Festival.mes,Script/dom2Festival.mes,26,4,UNKNOWN_1e,ワン!,멍!,멍!
dom2Festival.mes,Script/dom2Festival.mes,27,8,주인공,あ、アントン!,"아, 안톤!","아, 안톤!"
dom2Festival.mes,Script/dom2Festival.mes,28,3,Mary,Hi,Hi,Hi
dom2Festival.mes,Script/dom2Festival.mes,29,12,주인공,よかった……見つかった,다행이다…… 찾았네,다행이다…… 찾았네
dom2Festival.mes,Script/dom2Festival.mes,30,22,Mary,人ごみでは気配を消すクセが<6E5C>あるからかしら,사람 많은 데선<6E5C>기척 지우는 버릇이야,사람 많은 데선<6E5C>기척 지우는 버릇이야
dom2Festival.mes,Script/dom2Festival.mes,31,26,주인공,待ち合わせのときくらいは、<6E5C>気配消さないでください,"약속 잡을 땐,<6E5C>기척 지우지 말아주세요","약속 잡을 땐,<6E5C>기척 지우지 말아주세요"
dom2Festival.mes,Script/dom2Festival.mes,32,13,Mary,OK!さあ、行きましょう,"OK! 자, 가자","OK! 자, 가자"
dom2Festival.mes,Script/dom2Festival.mes,33,5,UNKNOWN_0x1e,お待たせ,기다렸지,기다렸지
dom2Festival.mes,Script/dom2Festival.mes,34,37,Mature,言い寄ってくる男どもを調教してた<6E5C>ら、思ったより時間を食って<6E5C>しまったわ,"치근덕대는 남자들을 조련하다<6E5C>보니, 생각보다 시간을 잡아먹어버렸네","치근덕대는 남자들을 조련하다<6E5C>보니, 생각보다 시간을 잡아먹어버렸네"
dom2Festival.mes,Script/dom2Festival.mes,35,11,주인공,ちょ、調教ですか……,"자, 잠깐, 조련…","자, 잠깐, 조련…"
dom2Festival.mes,Script/dom2Festival.mes,36,5,Mature,行くわよ,가자꾸나,가자꾸나
