file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,0,6,[효과음/내레이션],ドドーン!,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,1,10,주인공,な、なんだぁ……?,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,2,15,주인공,こ、ここは工作部の研究室……,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,3,10,UNKNOWN_1e,ゲホ、ゲホゲホ……,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,4,5,주인공,フィオ!,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,5,21,Fio,あっ、<이름:3232>さん!<6E5C>平気です、大丈夫です!,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,6,21,주인공,まだ何も言ってないよ.<6E5C>何があったんだ?,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,7,28,Fio,その、突然マシンが暴走して……<6E5C>自爆しちゃったんですぅ,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,8,11,주인공,自爆ぅ?ケガ人は……,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,9,24,Fio,研究室にはわたししか<6E5C>いなかったんで大丈夫です,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,10,41,Fio,でも、また先輩に怒られちゃいます<6E5C>.研究室を壊したの、<6E5C>これで3回目なんです……,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,11,6,주인공,3回も……,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,12,16,[선택지],ケガをしなくてよかった自業自得だ,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,13,27,주인공,とにかく、<6E5C>ケガをしなくてよかったよ.<6E5C>気をつけろよ,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,14,21,Fio,はうう……<이름:3232>さん、<6E5C>ありがとうです……,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,15,22,주인공,いいよ.<6E5C>それより中を片付けよう.手伝うよ,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,16,15,Fio,平気です!なれっこですから!,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,17,17,주인공,う~ん、あまり慣れたくはないなぁ,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,18,23,UNKNOWN_29,",<0000><0000><0000><0000><0000><0028><001C><0002>危なすぎるよ!自業自得だ!",,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,19,14,Fio,はうう……ごめんなさいぃ!,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,20,32,주인공,人がいなくてよかったけど、誰かを<6E5C>ケガさせたらどうするんだよ!,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,21,29,Fio,そうですよね…….<6E5C>わたし、もっともっと気をつけます<6E5C>!,,
dom2Fio_L01.mes,Script/dom2Fio_L01.mes,22,29,주인공,いや…….<6E5C>まぁ、研究に失敗はつきものだと<6E5C>思うけど……,,
