file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,0,9,[효과음/내레이션],タッタッタッ……,타닥타닥……,타닥타닥……
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,1,20,주인공,はぁ、はぁ……<6E5C>僕が寝坊するなんて……,"헉, 헉……<6E5C>내가 늦잠을 자다니……","헉, 헉……<6E5C>내가 늦잠을 자다니……"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,2,17,Hotaru,待ってお兄ちゃん.はぁ、はぁ……,"기다려 오빠. 헉, 헉……","기다려 오빠. 헉, 헉……"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,3,35,주인공,ほたるはまだHRまでに時間が<6E5C>あるだろ?あわてるなよ.<6E5C>階段こけるぞ,호타루는 아직 시간 있잖아?<6E5C>서두르지 마.<6E5C>계단에서 넘어진다,호타루는 아직 시간 있잖아?<6E5C>서두르지 마.<6E5C>계단에서 넘어진다
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,4,21,Hotaru,でも、お兄ちゃんといっしょに<6E5C>行きた……,"그래도, 오빠랑 같이<6E5C>가고 싶……","그래도, 오빠랑 같이<6E5C>가고 싶……"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,5,6,Hotaru,きゃあっ!,꺄악!,꺄악!
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,6,5,주인공,え……!,어……!,어……!
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,7,4,[효과음/내레이션],ドカッ,쿵,쿵
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,8,4,[효과음/내레이션],ドカッ,쿵,쿵
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,9,7,[효과음/내레이션],ドッカーン!,우당탕!,우당탕!
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,10,5,[효과음/내레이션],…………,…………,…………
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,11,5,주인공,…………,…………,…………
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,12,4,주인공,ううっ,으윽,으윽
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,13,22,Hotaru,あっ…….だ、だいじょうぶ?<6E5C>お兄ちゃん!,"아……. 괘, 괜찮아?<6E5C>오빠!","아……. 괘, 괜찮아?<6E5C>오빠!"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,14,7,주인공,か、体が……,"모, 몸이…","모, 몸이…"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,15,34,Hotaru,ごめんなさい!<6E5C>ほたるがあわてちゃったせいで……<6E5C>ケガしちゃった?,미안해!<6E5C>호타루가 서두르는 바람에……<6E5C>다친 거야?,미안해!<6E5C>호타루가 서두르는 바람에……<6E5C>다친 거야?
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,16,9,Hotaru,早く救急車を……,빨리 구급차를…,빨리 구급차를…
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,17,32,주인공,いや、それは大丈夫だ……<6E5C>早く降りてくれ.<6E5C>重くて動けない……,"아니, 괜찮아……<6E5C>빨리 내려와.<6E5C>무거워서 못 움직이겠어…","아니, 괜찮아……<6E5C>빨리 내려와.<6E5C>무거워서 못 움직이겠어…"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,18,5,Hotaru,…………,…………,…………
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,19,13,UNKNOWN_1e,アララ、朝から大胆だね~,아침부터 대담하네~,아침부터 대담하네~
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,20,5,주인공,キサラ!,키사라!,키사라!
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,21,23,Kisarah,そういうコトは、<6E5C>部屋でやってくれるかなぁ~,"그런 건,<6E5C>방에서 해줄래~?","그런 건,<6E5C>방에서 해줄래~?"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,22,30,Hotaru,ちっ、違うよキサラちゃん!<6E5C>私が階段でコケちゃったから……,"아, 아니야 키사라!<6E5C>내가 계단에서 넘어져서……","아, 아니야 키사라!<6E5C>내가 계단에서 넘어져서……"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,23,23,Kisarah,へぇ、ほたるから?<6E5C>たまにはヤルね、ほたるも,"호타루가 먼저?<6E5C>가끔은 하네, 호타루도","호타루가 먼저?<6E5C>가끔은 하네, 호타루도"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,24,14,Hotaru,もぉ、キサラちゃんってば!,"정말, 키사라도 참!","정말, 키사라도 참!"
dom2Hotaru_L01.mes,Script/dom2Hotaru_L01.mes,25,14,주인공,(朝からとんだ災難だ……),(아침부터 재난이네……),(아침부터 재난이네……)
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,0,9,주인공,ただいま……っと,다녀왔……습니다,다녀왔……습니다
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,1,11,주인공,なんだこれ、笹の葉?,이게 뭐지 조릿대?,이게 뭐지 조릿대?
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,2,11,Hotaru,おかえり、お兄ちゃん,"어서 와, 오빠","어서 와, 오빠"
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,3,21,Hotaru,お兄ちゃんもいっしょに<6E5C>お願い事しよう?,오빠도 같이<6E5C>소원 빌자?,오빠도 같이<6E5C>소원 빌자?
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,4,21,주인공,高校生が短冊にお願い事ね……<6E5C>まぁいいか,고등학생이 소원이라니……<6E5C>뭐 됐나,고등학생이 소원이라니……<6E5C>뭐 됐나
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,5,11,주인공,よし、何を書こうかな,"좋아, 뭘 써볼까","좋아, 뭘 써볼까"
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,6,27,Hotaru,お兄ちゃんは<6E5C>『大学を卒業できますように』<6E5C>でしょ?,오빠는<6E5C>『대학교 졸업하게 해주세요』<6E5C>겠지?,오빠는<6E5C>『대학교 졸업하게 해주세요』<6E5C>겠지?
dom2Hotaru_L02.mes,Script/dom2Hotaru_L02.mes,7,4,주인공,ぎくっ,뜨끔,뜨끔
