file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,0,15,주인공,おや、ふたりで遊んでるのか?,"어라, 둘이 놀고 있어?","어라, 둘이 놀고 있어?"
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,1,25,Kisarah,これから買い物しに行くトコ~.<6E5C><이름:3232>クンもどう?,이제 쇼핑하러 가는 참~.<6E5C><이름:3232>군도 갈래?,이제 쇼핑하러 가는 참~.<6E5C><이름:3232>군도 갈래?
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,2,4,주인공,僕も?,나도?,나도?
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,3,26,Kisarah,ほたるがエッチな下着を<6E5C>買いたいって言うからさぁー,호타루가 야한 속옷을<6E5C>사고 싶다길래 말이지~,호타루가 야한 속옷을<6E5C>사고 싶다길래 말이지~
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,4,26,Hotaru,キサラちゃんっ!<6E5C>ほたる、そんなこと言ってないよ!,"키사라!<6E5C>호타루, 그런 말 안 했어!","키사라!<6E5C>호타루, 그런 말 안 했어!"
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,5,24,Kisarah,アハハ、J。O。D。A。N!<6E5C>ジョーダンだよ!,"아하하, 노.담!<6E5C>농담이야!","아하하, 노.담!<6E5C>농담이야!"
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,6,28,Kisarah,でも、兄として妹の身だしなみは<6E5C>気になるんじゃないの?,그래도 오빠로서 여동생 옷차림은<6E5C>신경 쓰이잖아?,그래도 오빠로서 여동생 옷차림은<6E5C>신경 쓰이잖아?
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,7,10,주인공,ほたるは大丈夫だよ,호타루는 괜찮아,호타루는 괜찮아
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,8,19,주인공,キサラにそそのかされたり<6E5C>しなければ,키사라한테 부추김만<6E5C>안 당하면,키사라한테 부추김만<6E5C>안 당하면
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,9,37,Hotaru,お兄ちゃん、大丈夫だよ.<6E5C>ほたる、……エッチ……な服なんて<6E5C>買わないから,"오빠, 괜찮아.<6E5C>호타루, ……야한……옷 같은 건<6E5C>안 살 거니까","오빠, 괜찮아.<6E5C>호타루, ……야한……옷 같은 건<6E5C>안 살 거니까"
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,10,5,주인공,当然だ!,당연하지,당연하지
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,11,12,Kisarah,かたいなぁ、<이름:3232>クンは,"딱딱하네, <이름:3232>군은","딱딱하네, <이름:3232>군은"
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,12,23,Kisarah,じゃあ、代わりにボクの服を<6E5C>見立ててくれる?,그럼 대신 내 옷을<6E5C>골라 줄래?,그럼 대신 내 옷을<6E5C>골라 줄래?
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,13,6,주인공,キサラの?,키사라꺼?,키사라꺼?
dom2Kisarah_L01.mes,Script/dom2Kisarah_L01.mes,14,8,[선택지],清楚な服ハデな服,청순옷화려옷,청순옷\화려옷
