file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,0,31,주인공,(あ、暑い……さっさと帰って、<6E5C>冷たいシャワーでも浴びよう),,"(아, 더워……얼른 집에 가서<6E5C>차가운 샤워나 해야겠다)"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,1,7,UNKNOWN_1e,Hi、ボーイ,,"Hi, 얘"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,2,8,주인공,あ、マリーさん,,"아, 마리 씨"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,3,26,Mary,暑苦しい顔してるわね.<6E5C>見てるこっちまで暑くなるわ,,더워죽겠단 얼굴이네.<6E5C>보는 나까지 더워지잖아
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,4,13,주인공,ほ、ほっといてください!,,"내, 내버려두세요!"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,5,9,Mary,フフ、悪かったわ,,"후후, 미안했어"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,6,15,Mary,ねぇ、これから海に行かない?,,"저기, 바다에 안 갈래?"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,7,3,주인공,え?,,어?
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,8,26,Mary,どうせ暇なんでしょ?<6E5C>街を案内がてら、付き合ってよ,,어차피 한가하잖아?<6E5C>거리 안내 겸 같이 가자
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,9,14,주인공,ぼ、僕はナビじゃないですよ,,"저, 안내원이 아니에요"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,10,28,Mary,男が細かいこと言わないの.<6E5C>アントンに噛み付かせるわよ,,남자가 잔소리 마.<6E5C>안톤한테 물게 할 거야
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,11,6,[마리의 개],グルル……,,으르렁……
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,12,18,[선택지],わ、わかりましたよご、ごめんなさい!,,"아,알겠어요\죄,죄송해요!"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,13,11,주인공,わ、わかりましたよ!,,"아, 알겠어요!"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,14,38,주인공,(結局、海に案内させられて、<6E5C>一緒に潜らされる羽目になって<6E5C>しまった……),,"(결국 바다 안내를 하게 되고,<6E5C>같이 잠수까지 하게<6E5C>됐다……)"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,15,17,주인공,(……これってけっこう役得かも),,(……이거 괜찮은 특전일지도)
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,16,15,주인공,(マリーさん、きれいだなぁ),,"(마리 씨, 예쁘다)"
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,17,9,Mary,なにを見てるの?,,뭘 보는 거야?
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,18,5,주인공,人魚です,,인어예요
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,19,14,Mary,マーメイド?どこにいるの?,,인어? 어디 있는데?
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,20,9,주인공,僕の目の前に……,,제 눈앞에……
dom2Mary_L01.mes,Script/dom2Mary_L01.mes,21,11,Mary,私?フフ、ありがとう,,"나? 후후, 고마워"
