file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,0,19,주인공,(ん~今日は金曜日だ!踊るぞー!<6E5C>),(오늘은 금요일! 춤추자!<6E5C>),(오늘은 금요일! 춤추자!<6E5C>)
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,1,11,UNKNOWN_1e,あら、<이름:3131>君じゃない,"어머, <이름:3131>군 아냐","어머, <이름:3131>군 아냐"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,2,12,Mature,あなたも踊りに来たの?,너도 춤추러 왔니?,너도 춤추러 왔니?
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,3,15,주인공,はい!せっかくの週末ですから,네! 모처럼 주말이라서요,네! 모처럼 주말이라서요
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,4,20,Mature,私と同じってワケね、<6E5C>いい心がけだわ!,"나랑 똑같네,<6E5C>기특하구나!","나랑 똑같네,<6E5C>기특하구나!"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,5,14,Mature,さぁ、朝まで踊り狂うわよ!,"자, 아침까지 춰보자!","자, 아침까지 춰보자!"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,6,8,주인공,あ、朝まで!?,아침까지요!?,아침까지요!?
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,7,24,Mature,どうしたの?<6E5C>まさかイヤだとでも言うのかしら?,왜 그래?<6E5C>설마 싫다는 거니?,왜 그래?<6E5C>설마 싫다는 거니?
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,8,26,주인공,(う……マチュアさん、<6E5C>笑ってるけど目が怖い……),"(마츄어 씨,<6E5C>웃고 있는데 눈이 무서워……)","(마츄어 씨,<6E5C>웃고 있는데 눈이 무서워……)"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,9,17,[선택지],わ、わかりました!朝までは無理です,"아, 알겠어요!\아침까진 무리예요","아, 알겠어요!\아침까진 무리예요"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,10,11,주인공,朝まで行きましょう!,아침까지 가시죠!,아침까지 가시죠!
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,11,30,Mature,そうでなくちゃね、若者は!<6E5C>さぁ、風になって踊り狂うわよ!,"그래야지, 젊은이는!<6E5C>자, 바람 되어 신나게 춰보자!","그래야지, 젊은이는!<6E5C>자, 바람 되어 신나게 춰보자!"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,12,4,주인공,はい!,네!,네!
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,13,3,[효과음/내레이션],……,……,……
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,14,15,Mature,ホラ、もっと腰を振りなさい!,"자, 더 허리를 흔들어봐!","자, 더 허리를 흔들어봐!"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,15,14,주인공,(な、何時間経ったんだ?),(몇 시간 지난 거지?),(몇 시간 지난 거지?)
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,16,5,[효과음/내레이션],…………,…………,…………
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,17,38,Mature,もっとよ、もっと熱くなりなさい!<6E5C>さあ永遠の夢の世界に案内して<6E5C>あげるわ!,"더, 더 뜨거워져봐!<6E5C>자, 영원한 꿈의 세계로<6E5C>데려가줄게!","더, 더 뜨거워져봐!<6E5C>자, 영원한 꿈의 세계로<6E5C>데려가줄게!"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,18,12,주인공,そ、そろそろ限界が……,"슬, 슬슬 한계가……","슬, 슬슬 한계가……"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,19,7,[효과음/내레이션],………………,………………,………………
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,20,27,Mature,まだよ……まだまだ!<6E5C>ゾクゾクするわ、最高の快楽よ!,아직이야…… 아직 멀었어!<6E5C>최고의 쾌락이야!,아직이야…… 아직 멀었어!<6E5C>최고의 쾌락이야!
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,21,20,주인공,(ダ、ダメだ……<6E5C>もうついて行けない),(안 되겠어……<6E5C>더 못 따라가겠어),(안 되겠어……<6E5C>더 못 따라가겠어)
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,22,34,주인공,(こっそり抜け出そう.<6E5C>今のマチュアさんなら<6E5C>気づかないはず……),(몰래 빠져나가자.<6E5C>지금 마츄어 씨라면<6E5C>눈치 못챌 거야……),(몰래 빠져나가자.<6E5C>지금 마츄어 씨라면<6E5C>눈치 못챌 거야……)
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,23,19,주인공,それはちょっと<6E5C>かんべんしてください,그건 좀<6E5C>봐주세요,그건 좀<6E5C>봐주세요
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,24,38,Mature,……ゼミの成績が私の手の中に<6E5C>握られてることをわかって<6E5C>言ってるのかしら?,……세미나 성적이 내 손안에<6E5C>있다는 걸 알고서<6E5C>하는 말이니?,……세미나 성적이 내 손안에<6E5C>있다는 걸 알고서<6E5C>하는 말이니?
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,25,21,주인공,う……そ、それは関係ないじゃ<6E5C>ないですか,"으…… 그, 그건 상관<6E5C>없잖아요","으…… 그, 그건 상관<6E5C>없잖아요"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,26,24,Mature,黙りなさい!<6E5C>あなたにはお仕置きが必要なようね,조용히 해!<6E5C>너한테는 벌이 필요한 것 같네,조용히 해!<6E5C>너한테는 벌이 필요한 것 같네
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,27,23,주인공,ちょ、ちょっと!<6E5C>なに取り出してるんですか!,"자, 잠깐만요!<6E5C>뭘 꺼내시는 거예요!","자, 잠깐만요!<6E5C>뭘 꺼내시는 거예요!"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,28,19,Mature,だいじょうぶよ、<6E5C>痛くしないから……,"괜찮아,<6E5C>안 아프게 할 테니까……","괜찮아,<6E5C>안 아프게 할 테니까……"
dom2Mature_L01.mes,Script/dom2Mature_L01.mes,29,15,주인공,う、うわー!誰か助けてぇ!!,으아앙! 도와줘요!!,으아앙! 도와줘요!!
