file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,0,21,주인공,ハァ、やっぱり我が家が<6E5C>一番落ち着くなぁ,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,1,8,주인공,ファ~……眠い,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,2,5,주인공,グゥ……,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,3,20,Mary,収穫なし、か.<6E5C>想像以上に厄介な仕事ね,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,4,32,Mary,ねばつくような空気……<6E5C>日本の夏ってこういうところが<6E5C>苦手だわ,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,5,16,Mary,フゥ……そろそろ姿を見せたら?,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,6,7,[마리의 개],グルルル……,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,7,19,UNKNOWN_47,ウフフ、気づいてたの、<6E5C>私たちのこと,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,8,21,UNKNOWN_5d,さすがは凄腕のエージェントって<6E5C>ところか,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,9,23,Mary,私になんの用?<6E5C>ただのファンとも思えないけど,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,10,14,UNKNOWN_47,アハハハ、ずいぶんと余裕ね,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,11,17,UNKNOWN_47,ずばり言うとね、あなた邪魔なのよ,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,12,31,UNKNOWN_47,鼻の良すぎる犬には、このへんで<6E5C>退場してもらおうかと思ってね,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,13,15,Mary,あなたたちにできるのかしら?,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,14,32,UNKNOWN_5d,ナメた口きくじゃねぇか.<6E5C>できないかどうか、試してみやがれ<6E5C>!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,15,13,Mary,"C○me ○n,B○ヤ!",,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,16,9,UNKNOWN_5d,いっちまいなぁ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,17,4,[효과음/내레이션],バキッ、,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,18,7,[효과음/내레이션],ドカァッ!!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,19,8,Mary,この程度なの?,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,20,12,UNKNOWN_5d,チッ!ナメんじゃねぇ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,21,7,[효과음/내레이션],バチバチッ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,22,4,Mary,グッ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,23,11,Mary,(で、電撃……!?),,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,24,4,[효과음/내레이션],ドサッ,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,25,13,UNKNOWN_47,ウフフ、背中ががら空きよ,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,26,13,UNKNOWN_5d,誰が手を貸せっつったよ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,27,19,UNKNOWN_47,なに言ってるのよ.<6E5C>苦戦してたくせに,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,28,23,UNKNOWN_5d,だ、誰が苦戦だ!<6E5C>遊んでただけだろうがよぉ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,29,5,[효과음/내레이션],ガスッ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,30,5,[효과음/내레이션],ガスッ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,31,4,Mary,ぅ……,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,32,11,UNKNOWN_5d,おとなしく寝てろぉ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,33,5,[효과음/내레이션],ガスッ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,34,5,Mary,…………,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,35,26,UNKNOWN_47,もういいじゃない.<6E5C>それより、さっさと運びましょう,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,36,9,UNKNOWN_5d,チッ、わかったよ,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,37,6,[마리의 개],ワンワン!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,38,6,UNKNOWN_5d,うるせぇ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,39,5,[효과음/내레이션],バキィ!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,40,7,[마리의 개],キャイーン!,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,41,13,UNKNOWN_47,あらあら、容赦ないわねぇ,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,42,19,UNKNOWN_5d,うっとうしいんだよ、<6E5C>キャンキャンと,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,43,11,UNKNOWN_47,さ、早く行きましょう,,
dom2Orochi_L01.mes,Script/dom2Orochi_L01.mes,44,3,UNKNOWN_5d,おう,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,0,21,주인공,ハァ、やっぱり我が家が<6E5C>一番落ち着くなぁ,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,1,19,주인공,ほたる、<6E5C>まだ帰ってきてないのか……,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,2,8,주인공,ファ~……眠い,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,3,31,Kisarah,じゃあね、ほたる.<6E5C>遅くなっちゃったけど、<6E5C>ひとりでヘーキ?,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,4,22,Hotaru,うん、近道して帰るから、<6E5C>だいじょうぶだよ,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,5,12,Hotaru,バイバイ、キサラちゃん,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,6,11,Kisarah,また明日ね.バイバイ,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,7,37,Hotaru,さてと.遅くなっちゃったな.<6E5C>早く帰らないと、<6E5C>お兄ちゃんに怒られちゃう,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,8,8,[효과음/내레이션],タッタッタ……,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,9,27,Hotaru,うーん、ちょっと怖いな……でも、<6E5C>早く帰らなきゃね!,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,10,8,[효과음/내레이션],タッタッタ……,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,11,4,Hotaru,あれ?,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,12,19,Hotaru,(なにか落ちてる……めがねかな?<6E5C>),,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,13,22,Hotaru,(ふちの大きなめがねだな.<6E5C>誰のだろう?),,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,14,3,[효과음/내레이션],ザッ,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,15,12,UNKNOWN_1e,あらあら、困った子ねぇ,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,16,20,UNKNOWN_1e,まったくだ.<6E5C>こんなところへ入ってきて,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,17,4,Hotaru,誰!?,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,18,20,Mature,フフ、悪いけど、<6E5C>おとなしくしていてね,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,19,10,Hotaru,お、お兄ちゃん……,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,20,24,UNKNOWN_42,そう……おとなしくだ.<6E5C>痛みはない、一瞬だから,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,21,5,[효과음/내레이션],トンッ!,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,22,5,Hotaru,あ……!,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,23,4,[효과음/내레이션],ドサッ,,
dom2Orochi_L02.mes,Script/dom2Orochi_L02.mes,24,25,Mature,フフフ、ごめんなさい.<6E5C>せめていい夢を見てね……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,0,15,주인공,ほたる、帰ってきてないな……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,1,13,주인공,キサラの連絡を待つか……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,2,8,주인공,ファ~……眠い,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,3,27,Kisarah,いろいろ探したけど、<6E5C>心当たりはもうあそこしかないね,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,4,19,Kisarah,ほたる、<6E5C>近道するって言ってたし……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,5,8,[효과음/내레이션],タッタッタ……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,6,22,Kisarah,あれ?なに、この場所?<6E5C>まさかこの中に……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,7,16,UNKNOWN_1e,待ちな.この先は立ち入り禁止だ,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,8,4,Kisarah,誰!?,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,9,21,UNKNOWN_5d,俺が誰かなんてのは、<6E5C>どうでもいいんだよ,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,10,30,UNKNOWN_5d,それより、部外者がこんなとこに<6E5C>足を踏み入れちゃいけねぇな,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,11,7,UNKNOWN_47,そういうこと,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,12,33,UNKNOWN_47,ここまで来ちゃったからには、<6E5C>タダで帰すわけには<6E5C>いかないわねぇ,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,13,17,Kisarah,まさか……アンタたちがほたるを?,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,14,19,UNKNOWN_47,ほたる?<6E5C>あのリボンの女の子かしら?,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,15,21,UNKNOWN_5d,お友だちがのこのこ探しに<6E5C>来たってわけか,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,16,16,UNKNOWN_5d,お前もあいつの横に並べてやるよ,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,17,4,Kisarah,クッ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,18,7,[효과음/내레이션],ダダダダッ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,19,7,UNKNOWN_5d,逃がすかよ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,20,8,[효과음/내레이션],タッタッタ……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,21,8,Kisarah,ハア、ハア……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,22,5,[효과음/내레이션],ガシッ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,23,10,UNKNOWN_5d,ヘッ、つかまえたぜ,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,24,4,[효과음/내레이션],バッ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,25,7,[효과음/내레이션],シューッ!!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,26,15,UNKNOWN_5d,ぐわっ!目、目が見えねぇ!!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,27,38,Kisarah,チカン撃退スプレーだよ!<6E5C>レディーの扱いはもっと<6E5C>デリケートなんだから!!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,28,20,UNKNOWN_47,それじゃ、女同士で<6E5C>話し合いましょうか,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,29,12,Kisarah,お断りだね!エーイッ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,30,5,[효과음/내레이션],バシィ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,31,13,UNKNOWN_47,ぐ……!カ、カバンで……,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,32,6,Kisarah,バイバイ!,,
dom2Orochi_L03.mes,Script/dom2Orochi_L03.mes,33,8,[효과음/내레이션],タッタッタ……,,
