file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,0,12,[효과음/내레이션],♪カランコロンカラ~ン,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,1,31,[선택지],O<0002><0018><0002><0000><0001><0000><0000><000E><0006><FFFF><0000><0000><0000><0000><0028><001A><0037>いらっしゃいませ……あ!,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,2,17,주인공,やあ、巳沢さん.約束通り、来たよ,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,3,20,Shizuku,うれしいな……<6E5C>ほんとに来てくれたんだ,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,4,10,주인공,そう言ったでしょ?,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,5,16,Shizuku,ありがとう…….席、こっちだよ,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,6,20,주인공,それってイリュージョンの<6E5C>制服だよね?,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,7,8,Shizuku,うん.変かな?,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,8,20,주인공,(あ、ネクタイが<6E5C>外れかかってる……),,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,9,19,[선택지],ネクタイ外れそうだよすごく似合ってるよ,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,10,11,주인공,ネクタイ外れそうだよ,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,11,7,Shizuku,あ、いけない,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,12,19,주인공,まだ着なれていないせいだね、<6E5C>きっと,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,13,13,Shizuku,そっか、ダメだなぁ私……,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,14,24,주인공,え、いや、そんなことないよ、<6E5C>がんばってるよ!,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,15,6,Shizuku,もういいよ,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,16,23,주인공,(しまった……初日から<6E5C>落ち込ませちゃった),,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,17,30,UNKNOWN_29,A<0000><0000><0000><0000><0000><0038><002A><0002>そんなことない.<6E5C>すごくよく似合ってるよ,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,18,10,Shizuku,ありがとう、<이름:3131>君,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,19,11,주인공,仕事、大変じゃない?,,
dom2Shizuku_L01.mes,Script/dom2Shizuku_L01.mes,20,21,Shizuku,ほんと言うとね、<6E5C>ちょっと不安だったんだ,,
