file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Birthday.mes,Script/dom3Birthday.mes,0,25,주인공,(たまには何かおいしいものでも<6E5C>買って帰るかな),,
dom3Birthday.mes,Script/dom3Birthday.mes,1,4,[효과음/내레이션],ドンッ,,
dom3Birthday.mes,Script/dom3Birthday.mes,2,5,주인공,おおっと,,
dom3Birthday.mes,Script/dom3Birthday.mes,3,25,UNKNOWN_74,ケッ、<이름:3232>じゃねぇか!<6E5C>めでてぇ日に縁起が悪ぃぜ,,
dom3Birthday.mes,Script/dom3Birthday.mes,4,22,주인공,狂エ門……めでたい日って、<6E5C>何かあるのか?,,
dom3Birthday.mes,Script/dom3Birthday.mes,5,56,UNKNOWN_74,ナニもクソも、今日はオレ様が<6E5C>この世に生をあずかった<6E5C>記念すべき日でぃ!<485C>なんだったらオマエも<6E5C>祝っていいぜ?,,
dom3Birthday.mes,Script/dom3Birthday.mes,6,33,주인공,自分の生まれた日かよ!<6E5C>めでたい日というか、<6E5C>頭のめでたい奴だな,,
dom3Birthday.mes,Script/dom3Birthday.mes,7,36,주인공,……まてよ.<6E5C>今日は七月二十四日…….あ!<6E5C>俺も生まれた日じゃないか!,,
dom3Birthday.mes,Script/dom3Birthday.mes,8,8,UNKNOWN_74,なんだとォ!?,,
dom3Birthday.mes,Script/dom3Birthday.mes,9,191,UNKNOWN_29,",<0000><0000><0000><0000><0003><0000><0003><0001><0030><0001><0002><000F><0002><0005><0018><0001><0029>i<0000><0000><0000><0000><0029><0120><0000><0000><0000><0000><0003><0000><0003><0002><0030><0001><0002><0010><0002><0005><0018><0001><0029><0B50><0000><0000><0000><0000><0029><00F0><0000><0000><0000><0000><0003><0000><0003><0003><0030><0001><0002><0011><0002><0005><0018><0001><0029><0ED0><0000><0000><0000><0000><0029><00C0><0000><0000><0000><0000><0003><0000><0003><0004><0030><0001><0002><0012><0002><0005><0018><0001><0029><12FC><0000><0000><0000><0000><0029>&<0000><0000><0000><0000><0003><0000><0003><0005><0030><0001><0002><0013><0002><0005><0018><0001><0029><1834><0000><0000><0000><0000><0029><0060><0000><0000><0000><0000><0003><0000><0003><0006><0030><0001><0002><0014><0002><0005><0018><0001><0029><1C48><0000><0000><0000><0000><0029><0030><0000><0000><0000><0000><0003><0000><0003><0007><0024><0001><0002><0015><0002><0005><0018><0001><0029><1FFC><0000><0000><0000><0000><0029><2488><0000><0000><0000><0000><0000><0028><001C><001E>喧嘩ですか?いけませんよ!",,
dom3Birthday.mes,Script/dom3Birthday.mes,10,5,UNKNOWN_74,あぁ!?,,
dom3Birthday.mes,Script/dom3Birthday.mes,11,8,주인공,あ……ナコルル,,
dom3Birthday.mes,Script/dom3Birthday.mes,12,16,[선택지],いや、違うよ狂エ門に売られたんだ,,
dom3Birthday.mes,Script/dom3Birthday.mes,13,44,[선택지],『<0001><0000><0058><004C><0002>いや、違うよ.<6E5C>今日は俺たちの生まれた日だから、<6E5C>ふたりで祝ってたところさ,,
dom3Birthday.mes,Script/dom3Birthday.mes,14,5,UNKNOWN_74,ハァ!?,,
dom3Birthday.mes,Script/dom3Birthday.mes,15,41,Nakoruru,そうだったんですか.<6E5C>おめでとうございます!大自然から<6E5C>も祝福の声が閉こえますよ,,
dom3Birthday.mes,Script/dom3Birthday.mes,16,9,UNKNOWN_79,ピィー!ピィー!,,
dom3Birthday.mes,Script/dom3Birthday.mes,17,12,주인공,そいつは豪快な祝福だな,,
dom3Birthday.mes,Script/dom3Birthday.mes,18,9,Nakoruru,フフ、そうですね,,
dom3Birthday.mes,Script/dom3Birthday.mes,19,14,UNKNOWN_74,ナニを言ってんだ?こいつら,,
dom3Birthday.mes,Script/dom3Birthday.mes,20,33,주인공,いや、俺はそんなつもりはないんだ<6E5C>けど、狂エ門に売られちゃってさ,,
dom3Birthday.mes,Script/dom3Birthday.mes,21,25,Nakoruru,言い訳は閉きたくありません.<6E5C>喧嘩両成敗ですよ!,,
dom3Birthday.mes,Script/dom3Birthday.mes,22,5,UNKNOWN_74,何ィ!?,,
dom3Birthday.mes,Script/dom3Birthday.mes,23,10,Nakoruru,大自然の折紙です!,,
dom3Birthday.mes,Script/dom3Birthday.mes,24,5,[효과음/내레이션],バシィ!,,
dom3Birthday.mes,Script/dom3Birthday.mes,25,7,UNKNOWN_74,いってぇ~!,,
