file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,0,12,주인공,う~ん、お腹すいたなぁ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,1,16,[효과음/내레이션],トンッ、トントントントントンッ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,2,10,주인공,ん?なんだ、この音,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,3,14,Iroha,旦那様、お帰りなさいませ!,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,4,14,주인공,いろは、何をやってるんだ?,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,5,39,Iroha,見てのとおり、ごはんの用意<6E5C>ですよ!待ってくださいね、<6E5C>すぐにできますからっ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,6,41,주인공,そんなのいいよ.ただでさえやっか<6E5C>いになってるのに、飯ぐらい自分で<6E5C>調達するから,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,7,33,Iroha,いけません!<6E5C>旦那様に最善のおもてなしを<6E5C>するのが私の役目です!,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,8,12,[효과음/내레이션],ガシャンッ、ダダダダッ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,9,22,주인공,なんだか料理とは思えない音が<6E5C>してるぞ……,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,10,4,[효과음/내레이션],ビュッ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,11,4,[효과음/내레이션],キンッ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,12,4,[효과음/내레이션],キンッ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,13,4,[효과음/내레이션],ガガッ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,14,21,Iroha,そこに立ってると危ないですよ、<6E5C>旦那様!,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,15,5,[효과음/내레이션],ゴォ~~,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,16,28,주인공,す、すごい.まるで凄まじい死合い<6E5C>を見ているようだ……,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,17,28,Iroha,はい、旦那様!<6E5C>冷めないうちに<6E5C>お召し上がりください!,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,18,9,[효과음/내레이션],ずばっ<020A>もぐっっ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,19,8,주인공,ふ、ふがふがっ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,20,12,Iroha,お味ははいかがですか?,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,21,5,[선택지],うまい……,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,22,15,주인공,う、うま……あつつつつつっ!,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,23,6,Iroha,あ、あれ?,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,24,33,주인공,……いきなり口につっこんだら<6E5C>ヤケドするじゃないか!<6E5C>はふはふっ,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,25,13,Iroha,うわ~ん、ごめんなさい~,,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,26,24,주인공,(……まったく、これから先が思い<6E5C>やられるよ),,
dom3Iroha_L01.mes,Script/dom3Iroha_L01.mes,27,4,주인공,……っ,,
