file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,0,36,주인공,(枯華院に行くなら、何かお見舞い<6E5C>の品を持っていった方がいいかなぁ<6E5C>),,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,1,6,UNKNOWN_1e,<이름:3232>殿……,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,2,21,Ukyo,迷いが顔に出ている……<6E5C>いかが致した……,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,3,17,주인공,右京さん、ちょうど良いところに!,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,4,44,주인공,今から知り合いのお見舞いに行くん<6E5C>ですけれど、どんなものを持って<6E5C>いけばいいでしょうか,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,5,15,Ukyo,見舞い…….<6E5C>歌……果物……,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,6,3,[선택지],歌果物,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,7,32,Mikoto,――まぁ、<이름:3131>様.<6E5C>どうしたのですか?<6E5C>うれしそうな顔をされて,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,8,32,주인공,ふふ、命さんが元気になるようにと<6E5C>、歌を作ってきたんですよ、俺,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,9,12,Mikoto,わたくしのために歌を?,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,10,12,주인공,ええ.では……ゴホンッ,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,11,31,주인공,とこしえに……<6E5C>寺床につくなり……<6E5C>寺ミコトさん……<6E5C>寺<이름:3232>,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,12,3,[효과음/내레이션],……,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,13,3,Mikoto,……,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,14,6,주인공,あ、あれ?,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,15,35,Mikoto,……そうですね…….<6E5C>わたくしは、永久に病に伏せる<6E5C>運命ですから……,,
dom3Mikoto_L01.mes,Script/dom3Mikoto_L01.mes,16,33,주인공,(し、しまったぁ~.<6E5C>駄目だ、俺はもっと歌を<6E5C>勉強しないと……),,
