file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,0,5,[효과음/내레이션],ガヤガヤ,웅성웅성,웅성웅성
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,1,19,주인공,(なんだ?妙に騒がしいようだけど<6E5C>),(뭐지? 묘하게 시끄러운데<6E5C>),(뭐지? 묘하게 시끄러운데<6E5C>)
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,2,21,UNKNOWN_28,・おい見ろよ、ありゃ異国者じゃ<6E5C>ねぇか?,"・어이, 저거 봐, 이방인 아니<6E5C>냐?","・어이, 저거 봐, 이방인 아니<6E5C>냐?"
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,3,29,Hotaru,:おう、間違いねぇ.なんだって<6E5C>こんなとこにいやがるんだ,":오, 틀림없어. 왜<6E5C> 이런 데 있는 거야",":오, 틀림없어. 왜<6E5C> 이런 데 있는 거야"
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,4,17,UNKNOWN_20,?しっしっ、とっとと消えやがれ!,"?쉿쉿, 냉큼 꺼져버려!","?쉿쉿, 냉큼 꺼져버려!"
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,5,6,주인공,あれは……,저건……,저건……
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,6,16,주인공,(ミナとチャンプルじゃないか),(미나랑 찬푸루잖아),(미나랑 찬푸루잖아)
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,7,49,주인공,(そうか……異国の人間だから、<6E5C>奇異なものを見る視線にさらされて<6E5C>いるんだな.かわいそうに……),(그렇군…… 이방인이라서<6E5C> 이상한 걸 보는 눈초리를 받고<6E5C> 있는 거구나. 안됐군……),(그렇군…… 이방인이라서<6E5C> 이상한 걸 보는 눈초리를 받고<6E5C> 있는 거구나. 안됐군……)
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,8,15,[선택지],ミナに話しかける町人をいさめる,미나에게 말걸기\주민 나무라기,미나에게 말걸기\주민 나무라기
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,9,15,주인공,おーい、ミナ、チャンプルー!,"어이, 미나, 찬푸루!","어이, 미나, 찬푸루!"
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,10,3,Mina,……,……,……
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,11,33,주인공,今日はふたりで買い物か?<6E5C>よかったら俺も連れていって<6E5C>くれないか,오늘 둘이 장보러왔어?<6E5C> 괜찮으면 나도<6E5C> 데려가주지 않을래,오늘 둘이 장보러왔어?<6E5C> 괜찮으면 나도<6E5C> 데려가주지 않을래
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,12,14,Mina,……わたしに、近寄らないで,"……나한테, 다가오지 마","……나한테, 다가오지 마"
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,13,11,주인공,まぁそう言わずに……,그러지 말고……,그러지 말고……
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,14,17,Mina,きらい、キライ、みんな大ッ嫌い!,"싫어, 싫어, 다 너무 싫어!","싫어, 싫어, 다 너무 싫어!"
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,15,4,[효과음/내레이션],タタッ,타닥,타닥
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,16,4,UNKNOWN_7b,ミナー,미나아,미나아
dom3Mina_L01.mes,Script/dom3Mina_L01.mes,17,3,[효과음/내레이션],タッ,탁,탁
