file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,0,10,주인공,剣術道場は、と……,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,1,15,주인공,あれ、なんか人が集まってるぞ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,2,11,UNKNOWN_8c,ええから飛んでみいっ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,3,28,UNKNOWN_36,>おまえ、<6E5C>兄貴の言うことが閉けないのか.<6E5C>といいたい,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,4,26,주인공,(うわっ、ヤバそうな人たちが<6E5C>ケンカを売ってるぞ),,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,5,14,UNKNOWN_8c,オラ、はようせえや、コラァ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,6,13,UNKNOWN_1e,弱い者いじめはよしなっ!,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,7,16,주인공,あ、あの子は凛花ちゃん.無茶だ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,8,12,UNKNOWN_8c,あ~ん、なんやおまえは,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,9,27,Rinka,よってたかって、卑怯なマネは<6E5C>やめなって言ってるんだ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,10,14,UNKNOWN_8c,なんやと、このクソガキッ!,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,11,10,[선택지],様子を見る止めに入る,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,12,14,Rinka,ふん!なめるんじゃないよ!,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,13,3,주인공,あっ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,14,4,[효과음/내레이션],シュッ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,15,4,[효과음/내레이션],バシッ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,16,6,주인공,居合い!?,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,17,5,UNKNOWN_8c,ぐはっ!,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,18,7,UNKNOWN_0c,>あ、兄貴!,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,19,10,Rinka,まだ傷つきたいの?,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,20,36,UNKNOWN_46,>ク、クソッ.<6E5C>今日のところは引き上げてやる.<6E5C>覚えてろっ.といいたい,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,21,7,[효과음/내레이션],ダダダッ……,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,22,20,주인공,はぁ、<6E5C>一時はどうなることかと思ったよ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,23,14,Rinka,あんた、まだこの町にいたの,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,24,33,주인공,相手が大したことなくて<6E5C>よかったけど、<6E5C>もう危ないことはよすんだ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,25,37,Rinka,うるさい!<6E5C>あんたたち侍もあいつらと一緒だ.<6E5C>弱い者をいじめる卑怯者だよ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,26,4,[효과음/내레이션],タタッ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,27,28,주인공,"あ,行ってしまった.<6E5C>でも、正義感の強い子なんだな……",,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,28,12,주인공,その子の言うとおりだ!,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,29,11,UNKNOWN_8c,な、なんだ、おめえは,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,30,8,Rinka,ま、またあんた,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,31,22,주인공,手を引けと言っているんだ.<6E5C>さもないと……,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,32,5,[효과음/내레이션],チャキッ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,33,35,UNKNOWN_8c,うっ…….<6E5C>今日のところはこれぐらいで勘弁し<6E5C>てやらあ.引き上げるぞ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,34,13,UNKNOWN_18,>ま、待ってくれ、兄貴~,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,35,7,[효과음/내레이션],ダダダッ……,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,36,8,주인공,ふう.やれやれ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,37,26,Rinka,どうして邪魔するんだ.<6E5C>あたしひとりでも闘えたのに,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,38,12,Rinka,あんたなんか、嫌いだ!,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,39,4,[효과음/내레이션],タタッ,,
dom3Rinka_L01.mes,Script/dom3Rinka_L01.mes,40,33,주인공,やっぱり怒らしてしまった.<6E5C>助けないほうが<6E5C>よかったのかな……?,,
dom3Rinka_L02.mes,Script/dom3Rinka_L02.mes,0,16,주인공,(おや、あそこにいるのは……),,
dom3Rinka_L02.mes,Script/dom3Rinka_L02.mes,1,17,UNKNOWN_7e,ねえ、そのネズミさん、かわいいね,,
