file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,0,23,주인공,おや、表でお茶を楽しんでる<6E5C>あのふたりは……,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,1,14,Saya,アラ、<이름:3232>ちゃんじゃないの,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,2,17,주인공,こんにちは.サヤさん、凛花ちゃん,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,3,16,Saya,ホラ、凛花もちゃんとアイサツ!,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,4,6,Rinka,……フンッ,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,5,10,Saya,モゥ、困った子ねェ,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,6,9,주인공,いや、ははは……,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,7,43,Saya,そういえば、<이름:3232>ちゃん.<6E5C>さっきぼんやりこっちを見てたけど<6E5C>、何を見ていたのカシラ?,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,8,21,주인공,え.いや、親子みたい、<6E5C>じゃなかった……,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,9,20,[선택지],仲がいいなと思って家族みたいだなと思って,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,10,15,주인공,ふたりは仲がいいなぁと思って,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,11,30,Saya,そりゃそうよ.もう三年もふたりで<6E5C>募らしてるんだから.ネェ,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,12,23,Rinka,そうだよ.<6E5C>何、あたりまえのこと閉いてんの?,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,13,44,주인공,…….<6E5C>そ、そうだよね.はは、<6E5C>うらやましいなぁ<485C>俺も仲間に入れてほしいな<6E5C>……なんて,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,14,33,Saya,マァ、ワタシと親密な<6E5C>関係になりたいの?<6E5C>気持ちはわかるけど……,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,15,23,Rinka,誰があんたなんかと.<6E5C>めざわりだから消えな!,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,16,19,주인공,(……なんなんだ、この対応の違い<6E5C>),,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,17,21,Rinka,……もう食べ終わったし、<6E5C>行こうよ、サヤ,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,18,22,Saya,待ちなさい、ほら、<6E5C>口の周りが汚れてるわヨ,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,19,6,[효과음/내레이션],ふき、ふき,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,20,20,Rinka,う、うんっ…….<6E5C>くすぐったいよ、サヤ,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,21,24,주인공,(……見てるだけならかわいい<6E5C>のにな、この子),,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,22,17,주인공,ふたりは家族みたいだな、と思って,,
dom3Saya_L01.mes,Script/dom3Saya_L01.mes,23,19,Saya,……そうねぇ、<6E5C>もう家族も同然よねぇ,,
