file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,0,32,Shino,あら、いらっしゃい<이름:3232>さん!<6E5C>毎日来てくれるなんてうれしいわ!,"어머, 어서와요 <이름:3232>씨!<6E5C>매일 와주다니 기쁘잖아!","어머, 어서와요 <이름:3232>씨!<6E5C>매일 와주다니 기쁘잖아!"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,1,23,주인공,不思議と落ち着くんだよね、<6E5C>こき使われるのに,"이상하게 편안해,<6E5C>이렇게 부려먹히는데도","이상하게 편안해,<6E5C>이렇게 부려먹히는데도"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,2,44,Shino,ふふっ、<6E5C>さてはあたいに惚れちゃった?<485C>素直に言えばいいのに、<6E5C>恥ずかしがり屋さんねぇ,"후훗,<6E5C>혹시 나한테 반한거야?<485C>솔직히 말하면 될 걸,<6E5C>부끄럼쟁이네","후훗,<6E5C>혹시 나한테 반한거야?<485C>솔직히 말하면 될 걸,<6E5C>부끄럼쟁이네"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,3,9,주인공,いや、あのね……,"아니, 저기……","아니, 저기……"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,4,24,Shino,ちょっと待って、<6E5C>今お善哉を出してあげるから!,"잠깐 기다려,<6E5C>지금 단팥죽 내줄게!","잠깐 기다려,<6E5C>지금 단팥죽 내줄게!"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,5,3,[효과음/내레이션],タッ,탁,탁
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,6,25,주인공,……まだ何も注文してないんだけど<6E5C>……まぁいいか,……아직 안 시켰는데<6E5C>……뭐 상관없나,……아직 안 시켰는데<6E5C>……뭐 상관없나
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,7,9,Shino,はい、おまたせ!,"자, 나왔어!","자, 나왔어!"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,8,30,주인공,あ、ありがとう.<6E5C>……砂糖と塩を間違えたり<6E5C>してないよね?,고마워.<6E5C>설탕이랑 소금<6E5C>안 헷갈렸지?,고마워.<6E5C>설탕이랑 소금<6E5C>안 헷갈렸지?
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,9,28,Shino,やぁねぇ.<6E5C>あたいがそんな失敗するわけ<6E5C>ないじゃない!,에이 참.<6E5C>내가 그런 실수를 할 리<6E5C>없잖아!,에이 참.<6E5C>내가 그런 실수를 할 리<6E5C>없잖아!
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,10,3,주인공,……,……,……
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,11,16,Shino,そんなことより、はい、あ~ん!,"그건 그렇고, 자, 아~앙!","그건 그렇고, 자, 아~앙!"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,12,3,주인공,えっ,엇,엇
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,13,16,Shino,ほらほら、かたくならないで……,"자자, 긴장하지 말고……","자자, 긴장하지 말고……"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,14,15,주인공,な、何してるんだよ!いきなり,"뭐, 뭐하는거야! 갑자기","뭐, 뭐하는거야! 갑자기"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,15,40,Shino,ここまでご奉仕しちゃうの、<6E5C><이름:3232>さんだけなんだからねっ.<6E5C>早くお口を開けてよ~,"이렇게까지 챙겨주는 건,<6E5C><이름:3232>씨뿐이라구.<6E5C>얼른 입 벌려봐~","이렇게까지 챙겨주는 건,<6E5C><이름:3232>씨뿐이라구.<6E5C>얼른 입 벌려봐~"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,16,24,주인공,恥ずかしいって!<6E5C>うわ、膝の上にまで乗るなよ!,"부끄럽다고!<6E5C>우와, 무릎에 올라오지마!","부끄럽다고!<6E5C>우와, 무릎에 올라오지마!"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,17,15,Shino,もぉ、本当はうれしいくせに~,"참 나, 사실은 좋으면서~","참 나, 사실은 좋으면서~"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,18,11,주인공,……わ、わかったよ!,"……아, 알았어!","……아, 알았어!"
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,19,11,[효과음/내레이션],……ぱくっ<020A>もぐもぐ,……냠<020A>우물우물,……냠<020A>우물우물
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,20,9,Shino,どぉ?おいしい?,어때? 맛있어?,어때? 맛있어?
dom3Shino_L01.mes,Script/dom3Shino_L01.mes,21,9,[선택지],わからないおいしい,모른다\맛있다,모른다\맛있다
