file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,0,34,주인공,う~ん、のんびり歩くには楽しい町<6E5C>だ.ずっといてもいいくらいだなぁ,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,1,4,[효과음/내레이션],ドンッ,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,2,9,주인공,あ、すいませ……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,3,3,UNKNOWN_77,……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,4,15,주인공,(なっ!まさかこの展開は!),,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,5,20,UNKNOWN_77,貴様、俺の背中が<6E5C>そんなに好きか……?,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,6,9,주인공,そんな、滅相も!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,7,20,UNKNOWN_77,そのフ抜けた顔……<6E5C>斬らずにはおれんな,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,8,8,주인공,やっぱりぃ~?,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,9,6,[효과음/내레이션],ざくぅっ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,10,7,주인공,ぐあぁぁぁ~,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,11,3,[효과음/내레이션],……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,12,11,주인공,(……ん?<020A>ここは),,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,13,10,UNKNOWN_1e,起きられましたか?,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,14,12,주인공,な……黒装束の人……?,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,15,44,UNKNOWN_56,1はい、黒子です.傷はちゃんと<6E5C>縫っておきましたので、ご安心を.<6E5C>では、仕事中ですので,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,16,4,[효과음/내레이션],タタッ,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,17,10,주인공,……俺、無事なのか,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,18,39,Yuri,々<0001><0019><0015><0000><0000><0000><0000><000F><0000><0000><0000><0000><0000><002A><0000><0000><0000><0000><0000><0000><002C><001E><0002>(ま、また会ってしまった!),,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,19,4,UNKNOWN_77,散れッ,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,20,6,[효과음/내레이션],ざくぅっ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,21,7,주인공,ぐえぇぇぇ~,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,22,3,[효과음/내레이션],……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,23,34,UNKNOWN_42,1また斬られたんですか?<6E5C>流した血も無駄にしませんから、<6E5C>ご安心を,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,24,41,UNKNOWN_0c,々<0001><0019><0015><0000><0000><0000><0000><000F><0000><0000><0000><0000><0000><002A><0000><0000><0000><0000><0000><0000><0030><0022><0002>(な、なんでこの人ばかり……!),,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,25,14,UNKNOWN_77,カスが、邪魔だ、失せろッ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,26,6,[효과음/내레이션],ざくぅっ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,27,7,주인공,どあぁぁぁ~,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,28,3,[효과음/내레이션],……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,29,39,UNKNOWN_4c,1斬られるのが好きな人ですねぇ.<6E5C>ついでに盲腸も切っておきました.<6E5C>ご安心を,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,30,10,주인공,(もう、俺は……),,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,31,11,UNKNOWN_77,そのまま寝ていろッ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,32,6,[효과음/내레이션],ざくぅっ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,33,7,주인공,どえぇぇぇ~,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,34,3,[효과음/내레이션],……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,35,28,UNKNOWN_36,1そろそろ限界ですよ?<6E5C>採血もしておきました.ご安心を,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,36,5,주인공,(……),,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,37,6,UNKNOWN_77,もう殺ス!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,38,6,[효과음/내레이션],ざくぅっ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,39,3,주인공,……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,40,3,[효과음/내레이션],……,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,41,45,UNKNOWN_58,1このまま続けては死んでしまいます<6E5C>よ?とりあえず内臓も足しておき<6E5C>ましたので、ご安静に,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,42,7,주인공,うあああっ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,43,4,[효과음/내레이션],キンッ,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,44,4,[효과음/내레이션],キンッ,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,45,32,UNKNOWN_77,……ほぅ.俺に斬りかかるとは面白<6E5C>い.しかし、やわすぎるわッ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,46,3,UNKNOWN_77,一つ、,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,47,3,UNKNOWN_77,二つ、,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,48,4,UNKNOWN_77,三つ、,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,49,6,UNKNOWN_77,<8712>鹿蝶ッ!,,
dom3TrainingANG.mes,Script/dom3TrainingANG.mes,50,7,주인공,ああああ……,,
