file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,0,3,Ukyo,……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,1,13,주인공,あ、右京さん、こんにちは,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,2,3,Ukyo,……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,3,11,주인공,あの、俺、今日は……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,4,44,Ukyo,……川柳とは、うつし世で最も短い<6E5C>詩のひとつ……<9C16>句と同じく、<6E5C>十七音でつむがれる――,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,5,26,주인공,(さ、さっそく俺を生徒だと思って<6E5C>指導している!),,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,6,22,주인공,(まぁいいか.<6E5C>この機会に教わっておこう),,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,7,20,Ukyo,<이름:3232>殿……共に句の道を<6E5C>極めようぞ……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,8,4,주인공,はいぃ,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,9,6,Ukyo,白き花……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,10,6,주인공,白き花……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,11,7,Ukyo,咲かそ橘……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,12,7,주인공,咲かそ橘……,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,13,6,Ukyo,ゴハァッ!,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,14,16,주인공,ごはぁ?それはどういう意味で?,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,15,12,Ukyo,ガハァッ、ウゴハァッ!,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,16,28,주인공,ちょっと、しっかりしてください<6E5C>右京さん!右京さーん!,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,17,46,주인공,(……こうやって度々右京さんから<6E5C>句を教わっているけど、これって<6E5C>何かの役に立つのかナァ),,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,18,15,UNKNOWN_1c,Eきゃー、きゃー、右京様ー!,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,19,10,주인공,うわ、女性が何人も,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,20,5,Ukyo,……うむ,,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,21,24,주인공,(やっぱりモテるんだなぁ.<6E5C>俺も頑張ろうっと),,
dom3TrainingINT.mes,Script/dom3TrainingINT.mes,22,14,주인공,どうしたんですか、右京さん,,
