file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,0,4,[효과음/내레이션],ゴ~ン,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,1,9,주인공,ん、うぅ~ん……,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,2,10,주인공,ん?どこだ、ここは,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,3,14,Iroha,おはようございます、旦那様,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,4,11,주인공,うわ!びっくりした!,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,5,29,주인공,……そうか、昨夜から君の家に<6E5C>お邪魔になってるんだったな,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,6,40,Iroha,そうです.ここには私以外に誰もい<6E5C>ませんから、気兼ねなく過ごしてく<6E5C>ださいね?,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,7,48,주인공,うむ.……昨日は疲れきってすぐに<6E5C>寝てしまったが、質素な家だなぁ.<6E5C>こんなところに、ひとりで?,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,8,20,Iroha,はい.<6E5C>今は旦那様とふたりっきりです!,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,9,15,Iroha,これから……どうされますか?,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,10,20,주인공,え?あ、え~っと……<6E5C>出かけてくるよ!,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,11,11,Iroha,お出かけ……ですか?,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,12,38,주인공,ああ、男たるもの、町に出て修行を<6E5C>積まねばね!<6E5C>え~っと、どこに行こうかな,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,13,11,[선택지],剣術道場寺子屋橘城下町,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,14,43,UNKNOWN_29,<011C><0000><0000><0000><0000><0011><0001><0000><0000><0000><0000><0006><000A><0009><0000><0000><0001><000F><0000><0000><0000><0000><0000><002A><0000><0000><0000><0000><0000><0010><0009><0000><0000><0000><0000><0000><0014><0008><FFFF>ゴ~ン,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,15,31,Iroha,おはようございます、旦那様!<6E5C>今日はどちらにお出かけですか?,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,16,11,[선택지],剣術道場寺子屋橘城下町,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,17,12,Iroha,いってらっしゃいませ!,,
dom3TrainingMain.mes,Script/dom3TrainingMain.mes,18,11,[선택지],剣術道場寺子屋橘城下町,,
