file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,0,11,UNKNOWN_75,おっ、<이름:3232>じゃねぇか,"오, <이름:3232> 아니냐","오, <이름:3232> 아니냐"
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,1,13,주인공,覇王丸さん、道場で何を?,"하오마루님, 도장엔?","하오마루님, 도장엔?"
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,2,47,UNKNOWN_75,何って、俺はここの指南役だぜ.<6E5C>道場に来たってコトはおめぇ、剣の<6E5C>道を極めにきたってことか?,"뭘 하긴, 여기 사범이잖냐.<6E5C>도장에 왔다는 건 너도, 검의<6E5C>길을 닦으러 온 거냐?","뭘 하긴, 여기 사범이잖냐.<6E5C>도장에 왔다는 건 너도, 검의<6E5C>길을 닦으러 온 거냐?"
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,3,14,주인공,別にそういうつもりでは……,딱히 그런 건 아니고……,딱히 그런 건 아니고……
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,4,33,UNKNOWN_75,しのごの言ってねぇで、早く剣を<6E5C>構えな.うしろに木刀があんだろ?,"잔말 말고, 얼른 검을<6E5C>잡아라. 뒤에 목검 있잖냐?","잔말 말고, 얼른 검을<6E5C>잡아라. 뒤에 목검 있잖냐?"
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,5,17,주인공,いや、あの、ちょっと覇王丸さん!,"아니, 저, 잠깐 하오마루님!","아니, 저, 잠깐 하오마루님!"
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,6,6,[효과음/내레이션],バシーン!,찰싹!,찰싹!
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,7,6,UNKNOWN_75,一本っっ!,한 판!,한 판!
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,8,6,주인공,いてーっ!,아야!,아야!
dom3TrainingSTR.mes,Script/dom3TrainingSTR.mes,9,40,UNKNOWN_75,すこしはシャキッとしたかい?<6E5C>俺でよければ、いつでも剣の道に<6E5C>付き合ってやるぜ,"조금은 정신 차렸냐?<6E5C>내가 괜찮다면, 언제든 검의 길에<6E5C>함께해주마","조금은 정신 차렸냐?<6E5C>내가 괜찮다면, 언제든 검의 길에<6E5C>함께해주마"
