file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,0,23,주인공,ちょっと、どこに行くのですか、<6E5C>幻十郎さん!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,1,14,UNKNOWN_77,いいからついて来い.騒ぐな,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,2,28,주인공,(おっかない…….ここは、<6E5C>おとなしく従うべきか……),,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,3,17,UNKNOWN_77,どうした.俺の酒が飲めぬと言うか,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,4,22,주인공,い、いえいえ!<6E5C>大変おいしゅうございます!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,5,34,UNKNOWN_77,フッ、俺の刀を飛ばしたかと<6E5C>思ったら、急に萎縮する.<6E5C>面白いやつよ,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,6,6,주인공,は、ははぁ,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,7,26,UNKNOWN_77,金ならある.好きなだけ飲め.<6E5C>今日は気分がいい……,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,8,41,주인공,(あ、あの牙神幻十郎が、<6E5C>心なしか微笑んでいる!<6E5C>だまってつきあっていよう……),,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,9,29,주인공,(うぅ~ん、<6E5C>もう飲めませんってば~<6E5C>むにゃむにゃ……),,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,10,10,주인공,はうっ!い、痛い!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,11,8,주인공,こ、ここは……,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,12,20,주인공,はうっ!<6E5C>か、体の一部分が強烈に痛い!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,13,7,UNKNOWN_1e,起きたか……,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,14,4,주인공,はっ!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,15,20,UNKNOWN_77,さっきは度を外しすぎた……<6E5C>休んでおけ,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,16,10,주인공,こ、この状況は……,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,17,27,UNKNOWN_77,初めてにしては上出来だ.<6E5C>……なに、じきに痛みは退く,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,18,13,주인공,う、うあああああああ!!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,19,20,UNKNOWN_77,フッ、今頃我に戻ったか.<6E5C>哀れなやつよ,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,20,37,주인공,(こんな、こんなことって……<6E5C>俺の大事な夏が、<6E5C>ひと夏の思い出が……!),,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,21,13,주인공,(ぎゃあああーーーっ!),,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,22,20,UNKNOWN_6d,お疲れ様!<6E5C>少しは楽しんでくれたかな?,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,23,12,UNKNOWN_6d,……あ!<6E5C>いっけない!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,24,6,[효과음/내레이션],ドロンッ!,,
dom3ED_Genjuro.mes,Script/dom3ED_Genjuro.mes,25,44,Shino,こんぷりーと、おめでとう!<6E5C>今度むささび屋に来たら、善哉<6E5C>いっぱい食べさせてあげるね!,,
