file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
soundnamedom1.mes,soundnamedom1.mes,0,6,,メインテーマ,,메인 테마
soundnamedom1.mes,soundnamedom1.mes,1,2,UNKNOWN_6e5c,対決,,대결
soundnamedom1.mes,soundnamedom1.mes,2,4,UNKNOWN_6e5c,ムーディ,,무디
soundnamedom1.mes,soundnamedom1.mes,3,7,UNKNOWN_6e5c,アテナのテーマ,,아테나의 테마
soundnamedom1.mes,soundnamedom1.mes,4,5,UNKNOWN_6e5c,舞のテーマ,,마이의 테마
soundnamedom1.mes,soundnamedom1.mes,5,6,UNKNOWN_6e5c,ユリのテーマ,,유리의 테마
soundnamedom1.mes,soundnamedom1.mes,6,7,UNKNOWN_6e5c,キングのテーマ,,킹의 테마
soundnamedom1.mes,soundnamedom1.mes,7,6,UNKNOWN_6e5c,香澄のテーマ,,카스미의 테마
soundnamedom1.mes,soundnamedom1.mes,8,9,UNKNOWN_6e5c,Bジェニーのテーマ,,B 제니의 테마
soundnamedom1.mes,soundnamedom1.mes,9,7,UNKNOWN_6e5c,クーラのテーマ,,쿨라의 테마
soundnamedom1.mes,soundnamedom1.mes,10,7,UNKNOWN_6e5c,レオナのテーマ,,레오나의 테마
soundnamedom1.mes,soundnamedom1.mes,11,5,UNKNOWN_6e5c,OPテーマ,,OP 테마
soundnamedom1.mes,soundnamedom1.mes,12,3,UNKNOWN_6e5c,サッド,,새드
soundnamedom1.mes,soundnamedom1.mes,13,8,UNKNOWN_6e5c,サイコソルジャー,,사이코 솔져
soundnamedom1.mes,soundnamedom1.mes,14,7,UNKNOWN_6e5c,???????,,
soundnamedom2.mes,soundnamedom2.mes,0,5,,OPテーマ,,OP 테마
soundnamedom2.mes,soundnamedom2.mes,1,6,UNKNOWN_6e5c,メインテーマ,,메인 테마
soundnamedom2.mes,soundnamedom2.mes,2,2,UNKNOWN_6e5c,対決,,대결
soundnamedom2.mes,soundnamedom2.mes,3,4,UNKNOWN_6e5c,ムーディ,,무디
soundnamedom2.mes,soundnamedom2.mes,4,3,UNKNOWN_6e5c,サッド,,새드
soundnamedom2.mes,soundnamedom2.mes,5,2,UNKNOWN_6e5c,恐怖,,공포
soundnamedom2.mes,soundnamedom2.mes,6,5,UNKNOWN_6e5c,雫のテーマ,,시즈쿠의 테마
soundnamedom2.mes,soundnamedom2.mes,7,7,UNKNOWN_6e5c,ほたるのテーマ,,호타루의 테마
soundnamedom2.mes,soundnamedom2.mes,8,7,UNKNOWN_6e5c,キサラのテーマ,,키사라의 테마
soundnamedom2.mes,soundnamedom2.mes,9,7,UNKNOWN_6e5c,フィオのテーマ,,피오의 테마
soundnamedom2.mes,soundnamedom2.mes,10,7,UNKNOWN_6e5c,ちづるのテーマ,,치즈루의 테마
soundnamedom2.mes,soundnamedom2.mes,11,7,UNKNOWN_6e5c,マリーのテーマ,,마리의 테마
soundnamedom2.mes,soundnamedom2.mes,12,8,UNKNOWN_6e5c,マチュアのテーマ,,마츄어의 테마
soundnamedom2.mes,soundnamedom2.mes,13,7,UNKNOWN_6e5c,アテナのテーマ,,아테나의 테마
soundnamedom2.mes,soundnamedom2.mes,14,10,UNKNOWN_6e5c,オロチ編メインテーマ,,오로치 편 메인 테마
soundnamedom2.mes,soundnamedom2.mes,15,7,UNKNOWN_6e5c,???????,,
soundnamedom3.mes,soundnamedom3.mes,0,6,,OPのテーマ,,OP의 테마
soundnamedom3.mes,soundnamedom3.mes,1,6,UNKNOWN_6e5c,メインテーマ,,메인 테마
soundnamedom3.mes,soundnamedom3.mes,2,4,UNKNOWN_6e5c,真剣勝負,,진검승부
soundnamedom3.mes,soundnamedom3.mes,3,4,UNKNOWN_6e5c,ムーディ,,무디
soundnamedom3.mes,soundnamedom3.mes,4,3,UNKNOWN_6e5c,サッド,,새드
soundnamedom3.mes,soundnamedom3.mes,5,8,UNKNOWN_6e5c,ナコルルのテーマ,,나코루루의 테마
soundnamedom3.mes,soundnamedom3.mes,6,6,UNKNOWN_6e5c,詩乃のテーマ,,시노의 테마
soundnamedom3.mes,soundnamedom3.mes,7,6,UNKNOWN_6e5c,千夜のテーマ,,센야의 테마
soundnamedom3.mes,soundnamedom3.mes,8,6,UNKNOWN_6e5c,ミナのテーマ,,미나의 테마
soundnamedom3.mes,soundnamedom3.mes,9,6,UNKNOWN_6e5c,凛花のテーマ,,린카의 테마
soundnamedom3.mes,soundnamedom3.mes,10,6,UNKNOWN_6e5c,サヤのテーマ,,사야의 테마
soundnamedom3.mes,soundnamedom3.mes,11,5,UNKNOWN_6e5c,命のテーマ,,미코토의 테마
soundnamedom3.mes,soundnamedom3.mes,12,5,UNKNOWN_6e5c,色のテーマ,,시키의 테마
soundnamedom3.mes,soundnamedom3.mes,13,7,UNKNOWN_6e5c,いろはのテーマ,,이로하의 테마
soundnamedom3.mes,soundnamedom3.mes,14,7,UNKNOWN_6e5c,???????,,
dom3chara.mes,dom3chara.mes,0,55,,誕生日：10月11日<6E5C>年<020A>齢：18歳<6E5C>出身地：アイヌモシリ<6E5C>血夜型：AB型<6E5C>身<020A>長：154cm<6E5C>体<020A>重：語らず,,생일: 10월 11일<6E5C>나이<020A>: 18세<6E5C>출신지: 아이누모시리<6E5C>혈액형: AB형<6E5C>신장<020A>: 154cm<6E5C>체중<020A>: 비밀
dom3chara.mes,dom3chara.mes,1,50,UNKNOWN_6e5c,誕生日：4月15日<6E5C>年<020A>齢：17歳<6E5C>出身地：日本<6E5C>血夜型：B型<6E5C>身<020A>長：158cm<6E5C>体<020A>重：46kg,,생일: 4월 15일<6E5C>나이<020A>: 17세<6E5C>출신지: 일본<6E5C>혈액형: B형<6E5C>신장<020A>: 158cm<6E5C>체중<020A>: 46kg
dom3chara.mes,dom3chara.mes,2,51,UNKNOWN_6e5c,誕生日：3月6日<6E5C>年<020A>齢：21歳<6E5C>出身地：琉球王国<6E5C>血夜型：AB型<6E5C>身<020A>長：157cm<6E5C>体<020A>重：語らず,,생일: 3월 6일<6E5C>나이<020A>: 21세<6E5C>출신지: 류큐 왕국<6E5C>혈액형: AB형<6E5C>신장<020A>: 157cm<6E5C>체중<020A>: 비밀
dom3chara.mes,dom3chara.mes,3,47,UNKNOWN_6e5c,誕生日：不明<6E5C>年<020A>齢：16歳<6E5C>出身地：日本<6E5C>血夜型：不明<6E5C>身<020A>長：154cm<6E5C>体<020A>重：43kg,,생일: 불명<6E5C>나이<020A>: 16세<6E5C>출신지: 일본<6E5C>혈액형: 불명<6E5C>신장<020A>: 154cm<6E5C>체중<020A>: 43kg
dom3chara.mes,dom3chara.mes,4,49,UNKNOWN_6e5c,誕生日：不明<6E5C>年<020A>齢：22歳<6E5C>出身地：イギリス<6E5C>血夜型：不明<6E5C>身<020A>長：168cm<6E5C>体<020A>重：45kg,,생일: 불명<6E5C>나이<020A>: 22세<6E5C>출신지: 영국<6E5C>혈액형: 불명<6E5C>신장<020A>: 168cm<6E5C>체중<020A>: 45kg
dom3chara.mes,dom3chara.mes,5,47,UNKNOWN_6e5c,誕生日：不明<6E5C>年<020A>齢：19歳<6E5C>出身地：日本<6E5C>血夜型：不明<6E5C>身<020A>長：160cm<6E5C>体<020A>重：44kg,,생일: 불명<6E5C>나이<020A>: 19세<6E5C>출신지: 일본<6E5C>혈액형: 불명<6E5C>신장<020A>: 160cm<6E5C>체중<020A>: 44kg
dom3chara.mes,dom3chara.mes,6,48,UNKNOWN_6e5c,誕生日：6月6日<6E5C>年<020A>齢：不明<6E5C>出身地：日本<6E5C>血夜型：不明<6E5C>身<020A>長：168cm<6E5C>体<020A>重：44kg,,생일: 6월 6일<6E5C>나이<020A>: 불명<6E5C>출신지: 일본<6E5C>혈액형: 불명<6E5C>신장<020A>: 168cm<6E5C>체중<020A>: 44kg
dom3chara.mes,dom3chara.mes,7,45,UNKNOWN_6e5c,誕生日：不明<6E5C>年<020A>齢：不明<6E5C>出身地：日本<6E5C>血夜型：不明<6E5C>身<020A>長：160cm<6E5C>体<020A>重：知らず,,생일: 불명<6E5C>나이<020A>: 불명<6E5C>출신지: 일본<6E5C>혈액형: 불명<6E5C>신장<020A>: 160cm<6E5C>체중<020A>: 모름
dom2chara.mes,dom2chara.mes,0,54,,誕生日：5月3日<6E5C>年齢<020A>：21歳<6E5C>出身地：日本<6E5C>血夜型：A(RH-)型<6E5C>身長<020A>：160cm<6E5C>体重<020A>：48kg,,생일: 5월 3일<6E5C>나이<020A>: 21세<6E5C>출신지: 일본<6E5C>혈액형: A(RH-)형<6E5C>신장<020A>: 160cm<6E5C>체중<020A>: 48kg
dom2chara.mes,dom2chara.mes,1,50,UNKNOWN_6e5c,誕生日：5月11日<6E5C>年齢<020A>：16歳<6E5C>出身地：日本<6E5C>血夜型：A型<6E5C>身長<020A>：156cm<6E5C>体重<020A>：42kg,,생일: 5월 11일<6E5C>나이<020A>: 16세<6E5C>출신지: 일본<6E5C>혈액형: A형<6E5C>신장<020A>: 156cm<6E5C>체중<020A>: 42kg
dom2chara.mes,dom2chara.mes,2,51,UNKNOWN_6e5c,誕生日：1月7日<6E5C>年齢<020A>：17歳<6E5C>出身地：イギリス<6E5C>血夜型：B型<6E5C>身長<020A>：161cm<6E5C>体重<020A>：47kg,,생일: 1월 7일<6E5C>나이<020A>: 17세<6E5C>출신지: 영국<6E5C>혈액형: B형<6E5C>신장<020A>: 161cm<6E5C>체중<020A>: 47kg
